Fips,CountyState,gridID,Indx,Year,meanNDVIgrid,meanANPPgrid,NDVI_predict_2019_below,NPP_predict_2019_below,NPP_stdev_below,deltaNPP_below,pct_diffNPP_below,NDVI_predict_2019_avg,NPP_predict_2019_avg,NPP_stdev_avg,deltaNPP_avg,pct_diffNPP_avg,NDVI_predict_2019_above,NPP_predict_2019_above,NPP_stdev_above,deltaNPP_above,pct_diffNPP_above
 4001,apacheAZ            , 45748,1, 2020,    0.0562,  491.6578,     0.0372,  340.0519,    0.0000, -151.6059,  -30.8357,     0.0372,  340.0519,    0.0000, -151.6059,  -30.8357,     0.0372,  340.0519,    0.0000, -151.6059,  -30.8357
 4001,apacheAZ            , 45749,1, 2020,    0.0623,  539.5162,     0.0384,  349.8774,    0.0000, -189.6388,  -35.1498,     0.0384,  349.8774,    0.0000, -189.6388,  -35.1498,     0.0384,  349.8774,    0.0000, -189.6388,  -35.1498
 4001,apacheAZ            , 45750,1, 2020,    0.0648,  559.7852,     0.0398,  360.8663,    0.0000, -198.9189,  -35.5349,     0.0398,  360.8663,    0.0000, -198.9189,  -35.5349,     0.0398,  360.8663,    0.0000, -198.9189,  -35.5349
 4001,apacheAZ            , 45751,1, 2020,    0.0648,  559.4739,     0.0400,  362.9572,    0.0000, -196.5167,  -35.1253,     0.0400,  362.9572,    0.0000, -196.5167,  -35.1253,     0.0400,  362.9572,    0.0000, -196.5167,  -35.1253
 4001,apacheAZ            , 46209,1, 2020,    0.0580,  505.3289,     0.0400,  362.2969,    0.0000, -143.0319,  -28.3047,     0.0400,  362.2969,    0.0000, -143.0319,  -28.3047,     0.0400,  362.2969,    0.0000, -143.0319,  -28.3047
 4001,apacheAZ            , 46210,1, 2020,    0.0645,  557.5219,     0.0397,  360.1275,    0.0000, -197.3944,  -35.4057,     0.0397,  360.1275,    0.0000, -197.3944,  -35.4057,     0.0397,  360.1275,    0.0000, -197.3944,  -35.4057
 4001,apacheAZ            , 46211,1, 2020,    0.0668,  575.4341,     0.0407,  368.5539,    0.0000, -206.8802,  -35.9520,     0.0407,  368.5539,    0.0000, -206.8802,  -35.9520,     0.0407,  368.5539,    0.0000, -206.8802,  -35.9520
 4001,apacheAZ            , 46212,1, 2020,    0.0677,  582.8387,     0.0415,  374.1820,    0.0000, -208.6567,  -35.8001,     0.0415,  374.1820,    0.0000, -208.6567,  -35.8001,     0.0415,  374.1820,    0.0000, -208.6567,  -35.8001
 4001,apacheAZ            , 46213,1, 2020,    0.0669,  576.6564,     0.0409,  369.6229,    0.0000, -207.0335,  -35.9024,     0.0409,  369.6229,    0.0000, -207.0335,  -35.9024,     0.0409,  369.6229,    0.0000, -207.0335,  -35.9024
 4001,apacheAZ            , 46670,1, 2020,    0.0607,  527.4626,     0.0404,  365.5355,    0.0000, -161.9272,  -30.6993,     0.0404,  365.5355,    0.0000, -161.9272,  -30.6993,     0.0404,  365.5355,    0.0000, -161.9272,  -30.6993
 4001,apacheAZ            , 46671,1, 2020,    0.0661,  570.1392,     0.0413,  373.1129,    0.0000, -197.0263,  -34.5576,     0.0413,  373.1129,    0.0000, -197.0263,  -34.5576,     0.0413,  373.1129,    0.0000, -197.0263,  -34.5576
 4001,apacheAZ            , 46672,1, 2020,    0.0674,  580.4696,     0.0407,  368.3652,    0.0000, -212.1044,  -36.5401,     0.0407,  368.3652,    0.0000, -212.1044,  -36.5401,     0.0407,  368.3652,    0.0000, -212.1044,  -36.5401
 4001,apacheAZ            , 46673,1, 2020,    0.0687,  591.0065,     0.0420,  378.6310,    0.0000, -212.3756,  -35.9346,     0.0420,  378.6310,    0.0000, -212.3756,  -35.9346,     0.0420,  378.6310,    0.0000, -212.3756,  -35.9346
 4001,apacheAZ            , 46674,1, 2020,    0.0685,  589.2825,     0.0424,  381.6651,    0.0000, -207.6174,  -35.2322,     0.0424,  381.6651,    0.0000, -207.6174,  -35.2322,     0.0424,  381.6651,    0.0000, -207.6174,  -35.2322
 4001,apacheAZ            , 46675,1, 2020,    0.0673,  579.3997,     0.0429,  385.7683,    0.0000, -193.6314,  -33.4193,     0.0429,  385.7683,    0.0000, -193.6314,  -33.4193,     0.0429,  385.7683,    0.0000, -193.6314,  -33.4193
 4001,apacheAZ            , 46676,1, 2020,    0.0661,  569.8969,     0.0434,  389.5098,    0.0000, -180.3870,  -31.6526,     0.0434,  389.5098,    0.0000, -180.3870,  -31.6526,     0.0434,  389.5098,    0.0000, -180.3870,  -31.6526
 4001,apacheAZ            , 46677,1, 2020,    0.0636,  550.2335,     0.0420,  378.2851,    0.0000, -171.9484,  -31.2501,     0.0420,  378.2851,    0.0000, -171.9484,  -31.2501,     0.0420,  378.2851,    0.0000, -171.9484,  -31.2501
 4001,apacheAZ            , 47132,1, 2020,    0.0659,  568.4082,     0.0412,  372.4369,    0.0000, -195.9712,  -34.4772,     0.0412,  372.4369,    0.0000, -195.9712,  -34.4772,     0.0412,  372.4369,    0.0000, -195.9712,  -34.4772
 4001,apacheAZ            , 47133,1, 2020,    0.0679,  584.5029,     0.0405,  366.8403,    0.0000, -217.6626,  -37.2389,     0.0405,  366.8403,    0.0000, -217.6626,  -37.2389,     0.0405,  366.8403,    0.0000, -217.6626,  -37.2389
 4001,apacheAZ            , 47134,1, 2020,    0.0683,  587.6541,     0.0407,  368.1923,    0.0000, -219.4618,  -37.3454,     0.0407,  368.1923,    0.0000, -219.4618,  -37.3454,     0.0407,  368.1923,    0.0000, -219.4618,  -37.3454
 4001,apacheAZ            , 47135,1, 2020,    0.0681,  586.3868,     0.0430,  386.3657,    0.0000, -200.0211,  -34.1108,     0.0430,  386.3657,    0.0000, -200.0211,  -34.1108,     0.0430,  386.3657,    0.0000, -200.0211,  -34.1108
 4001,apacheAZ            , 47136,1, 2020,    0.0677,  582.8718,     0.0422,  380.3603,    0.0000, -202.5116,  -34.7438,     0.0422,  380.3603,    0.0000, -202.5116,  -34.7438,     0.0422,  380.3603,    0.0000, -202.5116,  -34.7438
 4001,apacheAZ            , 47137,1, 2020,    0.0655,  565.6116,     0.0425,  382.7341,    0.0000, -182.8775,  -32.3327,     0.0425,  382.7341,    0.0000, -182.8775,  -32.3327,     0.0425,  382.7341,    0.0000, -182.8775,  -32.3327
 4001,apacheAZ            , 47138,1, 2020,    0.0625,  541.8210,     0.0430,  386.8059,    0.0000, -155.0152,  -28.6100,     0.0430,  386.8059,    0.0000, -155.0152,  -28.6100,     0.0430,  386.8059,    0.0000, -155.0152,  -28.6100
 4001,apacheAZ            , 47593,1, 2020,    0.0675,  580.8574,     0.0432,  388.2050,    0.0000, -192.6524,  -33.1669,     0.0432,  388.2050,    0.0000, -192.6524,  -33.1669,     0.0432,  388.2050,    0.0000, -192.6524,  -33.1669
 4001,apacheAZ            , 47594,1, 2020,    0.0685,  589.5314,     0.0425,  382.3254,    0.0000, -207.2060,  -35.1476,     0.0425,  382.3254,    0.0000, -207.2060,  -35.1476,     0.0425,  382.3254,    0.0000, -207.2060,  -35.1476
 4001,apacheAZ            , 47595,1, 2020,    0.0685,  589.0716,     0.0435,  390.5317,    0.0000, -198.5399,  -33.7039,     0.0435,  390.5317,    0.0000, -198.5399,  -33.7039,     0.0435,  390.5317,    0.0000, -198.5399,  -33.7039
 4001,apacheAZ            , 47596,1, 2020,    0.0673,  579.2792,     0.0430,  386.7587,    0.0000, -192.5205,  -33.2345,     0.0430,  386.7587,    0.0000, -192.5205,  -33.2345,     0.0430,  386.7587,    0.0000, -192.5205,  -33.2345
 4001,apacheAZ            , 47597,1, 2020,    0.0664,  572.0890,     0.0421,  379.0712,    0.0000, -193.0179,  -33.7391,     0.0421,  379.0712,    0.0000, -193.0179,  -33.7391,     0.0421,  379.0712,    0.0000, -193.0179,  -33.7391
 4001,apacheAZ            , 47598,1, 2020,    0.0628,  544.2019,     0.0417,  376.1628,    0.0000, -168.0391,  -30.8781,     0.0417,  376.1628,    0.0000, -168.0391,  -30.8781,     0.0417,  376.1628,    0.0000, -168.0391,  -30.8781
 4001,apacheAZ            , 47599,1, 2020,    0.0615,  533.4191,     0.0412,  372.0596,    0.0000, -161.3595,  -30.2500,     0.0412,  372.0596,    0.0000, -161.3595,  -30.2500,     0.0412,  372.0596,    0.0000, -161.3595,  -30.2500
 4001,apacheAZ            , 48054,1, 2020,    0.0688,  591.8961,     0.0442,  396.2384,    0.0000, -195.6577,  -33.0561,     0.0442,  396.2384,    0.0000, -195.6577,  -33.0561,     0.0442,  396.2384,    0.0000, -195.6577,  -33.0561
