Fips,CountyState,gridID,Indx,Year,meanNDVIgrid,meanANPPgrid,NDVI_predict_2021_below,NPP_predict_2021_below,NPP_stdev_below,deltaNPP_below,pct_diffNPP_below,NDVI_predict_2021_avg,NPP_predict_2021_avg,NPP_stdev_avg,deltaNPP_avg,pct_diffNPP_avg,NDVI_predict_2021_above,NPP_predict_2021_above,NPP_stdev_above,deltaNPP_above,pct_diffNPP_above
4001,apacheAZ            ,45748,1,2021,0.0555,485.9852,0.0645,557.7551,2.4103,71.7699,14.7679,0.0645,557.3372,3.4933,71.352,14.6819,0.064,553.3427,2.7198,67.3576,13.86
4001,apacheAZ            ,45749,1,2021,0.0615,533.3392,0.0661,569.9401,2.6558,36.6009,6.8626,0.066,569.3204,3.7008,35.9812,6.7464,0.0655,565.2225,2.9436,31.8833,5.9781
4001,apacheAZ            ,45750,1,2021,0.064,553.7768,0.0664,572.5812,2.3598,18.8044,3.3957,0.0666,574.1179,3.9035,20.3411,3.6732,0.066,569.3519,2.6964,15.5751,2.8125
4001,apacheAZ            ,45751,1,2021,0.064,553.5052,0.0652,562.7478,3.7833,9.2426,1.6698,0.0662,571.0799,2.742,17.5747,3.1752,0.066,569.5156,2.9769,16.0104,2.8926
4001,apacheAZ            ,46209,1,2021,0.0573,500.296,0.0659,568.2789,2.4897,67.9829,13.5885,0.066,569.6637,3.2223,69.3677,13.8653,0.0654,564.8806,2.5019,64.5846,12.9093
4001,apacheAZ            ,46210,1,2021,0.0638,551.7859,0.0674,580.4102,2.6927,28.6243,5.1876,0.0673,579.6071,3.7292,27.8212,5.042,0.0668,575.5511,2.9458,23.7652,4.307
4001,apacheAZ            ,46211,1,2021,0.066,569.482,0.0682,586.5283,3.1661,17.0463,2.9933,0.0681,585.678,3.9859,16.196,2.844,0.0675,580.9618,2.6539,11.4798,2.0158
4001,apacheAZ            ,46212,1,2021,0.067,576.9285,0.068,585.1501,3.0502,8.2216,1.4251,0.0682,586.9789,3.5883,10.0505,1.7421,0.0675,581.3495,2.8044,4.4211,0.7663
4001,apacheAZ            ,46213,1,2021,0.0662,570.6637,0.067,577.587,3.6242,6.9233,1.2132,0.0678,583.7692,4.7053,13.1056,2.2965,0.0673,579.9753,3.6918,9.3116,1.6317
4001,apacheAZ            ,46670,1,2021,0.0601,522.5271,0.0667,575.0612,2.6393,52.5341,10.0538,0.0668,575.5066,3.6195,52.9795,10.1391,0.0663,571.4965,2.6942,48.9693,9.3716
4001,apacheAZ            ,46671,1,2021,0.0654,564.3469,0.0678,583.3566,2.6452,19.0096,3.3684,0.0676,581.6299,3.8803,17.283,3.0625,0.0672,579.0215,3.2527,14.6746,2.6003
4001,apacheAZ            ,46672,1,2021,0.0667,574.4909,0.068,585.1488,3.1568,10.6579,1.8552,0.0679,584.5579,4.4857,10.0671,1.7523,0.0675,580.9971,3.1802,6.5063,1.1325
4001,apacheAZ            ,46673,1,2021,0.068,585.0378,0.0686,590.1388,3.7483,5.101,0.8719,0.0687,590.5437,4.5372,5.5058,0.9411,0.0681,586.2112,3.6426,1.1734,0.2006
4001,apacheAZ            ,46674,1,2021,0.0678,583.2295,0.0685,588.834,3.255,5.6045,0.9609,0.0687,590.9288,4.9321,7.6993,1.3201,0.068,585.2247,3.2142,1.9952,0.3421
4001,apacheAZ            ,46675,1,2021,0.0665,573.6402,0.0669,576.1079,4.3452,2.4677,0.4302,0.068,585.0728,4.1202,11.4326,1.993,0.0675,580.8334,3.2393,7.1932,1.254
4001,apacheAZ            ,46676,1,2021,0.0654,564.6858,0.0633,548.0238,6.297,-16.662,-2.9507,0.0647,559.1542,3.3003,-5.5316,-0.9796,0.0646,558.3944,5.1727,-6.2914,-1.1141
4001,apacheAZ            ,46677,1,2021,0.063,545.1486,0.0609,528.9766,5.6736,-16.172,-2.9665,0.0625,541.8219,3.9291,-3.3267,-0.6102,0.0625,541.3228,6.2653,-3.8259,-0.7018
4001,apacheAZ            ,47132,1,2021,0.0652,562.6552,0.0678,583.5085,2.7114,20.8534,3.7062,0.0677,582.5496,3.5193,19.8944,3.5358,0.0672,579.1014,3.0059,16.4463,2.923
4001,apacheAZ            ,47133,1,2021,0.0671,578.3857,0.0679,584.1885,3.3912,5.8028,1.0033,0.0679,584.5802,4.3471,6.1945,1.071,0.0674,580.536,3.2369,2.1503,0.3718
4001,apacheAZ            ,47134,1,2021,0.0676,581.6688,0.0687,590.5397,3.8269,8.871,1.5251,0.0686,590.0589,5.0462,8.3902,1.4424,0.0682,586.7916,3.4848,5.1228,0.8807
4001,apacheAZ            ,47135,1,2021,0.0674,580.4045,0.0688,591.4542,4.4008,11.0496,1.9038,0.0689,592.1262,5.2073,11.7217,2.0196,0.0682,587.0929,4.1772,6.6884,1.1524
4001,apacheAZ            ,47136,1,2021,0.067,576.9058,0.0666,573.9175,3.4302,-2.9883,-0.518,0.0677,582.5391,3.291,5.6333,0.9765,0.067,577.5804,2.8563,0.6747,0.1169
4001,apacheAZ            ,47137,1,2021,0.0648,559.8739,0.0649,560.8717,4.7906,0.9978,0.1782,0.0663,571.955,2.5531,12.0811,2.1578,0.0661,569.9073,5.5296,10.0334,1.7921
4001,apacheAZ            ,47138,1,2021,0.0619,536.9567,0.0618,535.7497,4.2106,-1.207,-0.2248,0.0634,548.5989,3.1937,11.6422,2.1682,0.0631,546.3522,5.4681,9.3954,1.7498
4001,apacheAZ            ,47593,1,2021,0.0667,575.152,0.068,584.8448,2.7822,9.6928,1.6853,0.0678,583.6723,3.4468,8.5203,1.4814,0.0674,580.2609,3.0309,5.1089,0.8883
4001,apacheAZ            ,47594,1,2021,0.0678,583.4295,0.0686,590.2043,2.996,6.7748,1.1612,0.0684,588.7724,4.0373,5.3429,0.9158,0.068,585.454,3.2111,2.0245,0.347
4001,apacheAZ            ,47595,1,2021,0.0678,583.8727,0.0697,599.0277,3.4564,15.155,2.5956,0.0695,597.1425,4.9688,13.2698,2.2727,0.0692,594.3992,3.3737,10.5265,1.8029
4001,apacheAZ            ,47596,1,2021,0.0665,573.5057,0.0686,589.9764,4.0485,16.4707,2.8719,0.0686,590.1729,4.2915,16.6672,2.9062,0.0681,585.6269,3.2874,12.1213,2.1135
4001,apacheAZ            ,47597,1,2021,0.0656,566.2614,0.0671,578.0468,2.4463,11.7854,2.0813,0.0678,583.7103,4.1396,17.4489,3.0814,0.0672,579.1958,2.9465,12.9344,2.2842
4001,apacheAZ            ,47598,1,2021,0.0621,538.5795,0.0627,542.8883,4.3709,4.3088,0.8,0.064,553.1331,3.1617,14.5536,2.7022,0.064,553.3873,5.0291,14.8078,2.7494
4001,apacheAZ            ,47599,1,2021,0.0608,527.7539,0.0595,517.8449,4.6223,-9.909,-1.8776,0.0609,529.1299,3.0651,1.376,0.2607,0.061,529.5675,5.4519,1.8136,0.3436
4001,apacheAZ            ,48054,1,2021,0.0681,586.1859,0.0684,588.234,2.6576,2.0481,0.3494,0.0681,585.7881,3.3252,-0.3978,-0.0679,0.0677,582.564,3.0555,-3.6219,-0.6179
4001,apacheAZ            ,48055,1,2021,0.0681,586.0025,0.069,593.245,2.4609,7.2425,1.2359,0.0687,590.7703,3.8009,4.7678,0.8136,0.0683,587.8685,2.9571,1.866,0.3184
4001,apacheAZ            ,48056,1,2021,0.0666,574.2315,0.069,593.4022,4.0903,19.1708,3.3385,0.069,593.38,3.2817,19.1485,3.3346,0.0685,589.0358,2.7977,14.8043,2.5781
4001,apacheAZ            ,48057,1,2021,0.0658,568.0789,0.0685,589.3148,3.5347,21.2359,3.7382,0.0685,589.3698,3.8926,21.2909,3.7479,0.0679,584.626,2.5896,16.5471,2.9128
4001,apacheAZ            ,48058,1,2021,0.0625,541.6355,0.0634,548.7195,2.852,7.084,1.3079,0.0646,558.4101,3.0176,16.7747,3.097,0.0643,555.8686,3.122,14.2331,2.6278
4001,apacheAZ            ,48059,1,2021,0.0584,508.8111,0.0606,526.2674,3.3195,17.4563,3.4308,0.0619,536.7834,3.2217,27.9723,5.4976,0.062,537.5367,4.3342,28.7256,5.6456
4001,apacheAZ            ,48060,1,2021,0.0594,516.9335,0.0606,526.046,4.6023,9.1125,1.7628,0.062,537.2,3.0242,20.2664,3.9205,0.0621,538.5756,5.4341,21.642,4.1866
4001,apacheAZ            ,48061,1,2021,0.0582,506.9844,0.0586,510.6303,3.5161,3.6459,0.7191,0.0601,522.2441,3.0563,15.2598,3.0099,0.0602,523.1599,5.7887,16.1755,3.1905
4001,apacheAZ            ,48515,1,2021,0.0681,586.337,0.0679,584.5907,3.0353,-1.7463,-0.2978,0.0676,582.2509,2.7141,-4.0861,-0.6969,0.0671,578.187,2.6399,-8.15,-1.39
4001,apacheAZ            ,48516,1,2021,0.0666,574.0782,0.0685,589.0227,3.02,14.9445,2.6032,0.0682,587.0851,3.176,13.0069,2.2657,0.0678,583.5623,2.7052,9.4841,1.6521
4001,apacheAZ            ,48517,1,2021,0.0654,564.3923,0.0681,585.8549,2.7759,21.4625,3.8028,0.0678,583.5164,3.2684,19.1241,3.3884,0.0674,580.177,2.5978,15.7847,2.7968
4001,apacheAZ            ,48518,1,2021,0.0632,547.3334,0.0667,574.8843,3.1467,27.5509,5.0337,0.0667,574.5345,3.9202,27.2011,4.9698,0.0663,571.4834,2.9632,24.1499,4.4123
4001,apacheAZ            ,48519,1,2021,0.0527,463.2361,0.0619,536.8279,2.6957,73.5918,15.8865,0.0628,543.8276,3.6306,80.5915,17.3975,0.0624,540.3455,2.7675,77.1093,16.6458
4001,apacheAZ            ,48520,1,2021,0.0531,467.0428,0.0603,523.6734,3.6499,56.6307,12.1254,0.0617,535.1641,2.8813,68.1213,14.5857,0.0616,534.213,3.3549,67.1702,14.382
4001,apacheAZ            ,48521,1,2021,0.0583,508.0761,0.0609,528.767,3.8557,20.6909,4.0724,0.0623,539.6197,2.7324,31.5436,6.2084,0.0624,540.9769,4.7401,32.9008,6.4756
4001,apacheAZ            ,48522,1,2021,0.0569,497.2654,0.0589,513.164,3.5403,15.8986,3.1972,0.0604,524.6101,2.654,27.3448,5.499,0.0606,526.3316,5.1994,29.0662,5.8452
4001,apacheAZ            ,48976,1,2021,0.0645,557.4756,0.0674,580.574,3.0591,23.0984,4.1434,0.0671,577.8962,2.9671,20.4206,3.663,0.0666,574.2581,2.7273,16.7825,3.0104
4001,apacheAZ            ,48977,1,2021,0.0639,552.4864,0.0674,580.0775,3.1031,27.5911,4.994,0.0671,577.9473,3.0713,25.4609,4.6084,0.0666,574.1939,2.6189,21.7075,3.9291
4001,apacheAZ            ,48978,1,2021,0.0594,516.7894,0.065,561.6984,2.8345,44.909,8.69,0.0647,559.0036,3.1785,42.2141,8.1685,0.0644,556.3363,2.7606,39.5468,7.6524
4001,apacheAZ            ,48979,1,2021,0.0537,471.3263,0.0639,552.444,3.4854,81.1177,17.2105,0.0639,552.9903,3.0333,81.664,17.3264,0.0635,549.6287,2.8052,78.3024,16.6132
4001,apacheAZ            ,48980,1,2021,0.0516,454.8145,0.0622,538.7825,2.8979,83.968,18.462,0.0631,545.9657,3.1377,91.1512,20.0414,0.0626,541.9962,2.7192,87.1816,19.1686
4001,apacheAZ            ,48981,1,2021,0.0574,500.9144,0.0623,539.5948,3.0455,38.6804,7.722,0.0635,549.3902,2.8327,48.4759,9.6775,0.0634,548.4601,3.1616,47.5457,9.4918
4001,apacheAZ            ,48982,1,2021,0.057,498.1457,0.0608,528.0897,3.877,29.944,6.0111,0.0622,538.7079,3.1438,40.5621,8.1426,0.0623,539.8372,4.108,41.6914,8.3693
4001,apacheAZ            ,48983,1,2021,0.056,490.049,0.0582,507.3067,3.9824,17.2576,3.5216,0.0596,518.5432,3.4696,28.4942,5.8146,0.06,521.4764,5.177,31.4274,6.4131
4001,apacheAZ            ,49438,1,2021,0.0573,500.4244,0.0648,559.6416,2.9627,59.2172,11.8334,0.0646,557.9752,3.4533,57.5508,11.5004,0.0641,554.172,2.8001,53.7476,10.7404
4001,apacheAZ            ,49439,1,2021,0.0527,463.4706,0.0641,553.9048,2.9722,90.4341,19.5124,0.0638,551.6226,3.1457,88.152,19.02,0.0634,548.9356,2.7157,85.465,18.4402
4001,apacheAZ            ,49440,1,2021,0.0515,454.049,0.0631,545.8517,2.5221,91.8027,20.2187,0.0629,544.9766,3.4054,90.9276,20.0259,0.0626,542.5294,2.6446,88.4804,19.487
4001,apacheAZ            ,49441,1,2021,0.0561,490.9626,0.0608,527.6836,4.1111,36.721,7.4794,0.0619,536.7349,3.4303,45.7723,9.323,0.0618,536.0144,2.9097,45.0518,9.1762
