Fips,CountyState,gridID,Indx,Year,meanNDVIgrid,meanANPPgrid,NDVI_predict_2021_below,NPP_predict_2021_below,NPP_stdev_below,deltaNPP_below,pct_diffNPP_below,NDVI_predict_2021_avg,NPP_predict_2021_avg,NPP_stdev_avg,deltaNPP_avg,pct_diffNPP_avg,NDVI_predict_2021_above,NPP_predict_2021_above,NPP_stdev_above,deltaNPP_above,pct_diffNPP_above
 4001,apacheAZ            , 45748,1, 2021,    0.0555,  485.9852,     0.0508,  448.1056,   16.4453,  -37.8795,   -7.7944,     0.0559,  488.8804,   11.0440,    2.8953,    0.5958,     0.0561,  490.4014,   15.0463,    4.4163,    0.9087
 4001,apacheAZ            , 45749,1, 2021,    0.0615,  533.3392,     0.0534,  469.1284,   18.0975,  -64.2108,  -12.0394,     0.0577,  502.9480,   12.0089,  -30.3911,   -5.6983,     0.0577,  503.1996,   11.8379,  -30.1396,   -5.6511
 4001,apacheAZ            , 45750,1, 2021,    0.0640,  553.7768,     0.0539,  473.4700,   16.8332,  -80.3068,  -14.5017,     0.0589,  512.6858,    9.3271,  -41.0910,   -7.4201,     0.0576,  502.4908,   10.2779,  -51.2860,   -9.2611
 4001,apacheAZ            , 45751,1, 2021,    0.0640,  553.5052,     0.0545,  477.8037,   18.1464,  -75.7014,  -13.6767,     0.0594,  516.5741,   10.0828,  -36.9310,   -6.6722,     0.0579,  505.0363,   11.2694,  -48.4689,   -8.7567
 4001,apacheAZ            , 46209,1, 2021,    0.0573,  500.2960,     0.0537,  471.7171,   19.3015,  -28.5789,   -5.7124,     0.0568,  496.2837,   14.6548,   -4.0123,   -0.8020,     0.0584,  508.9154,   13.4315,    8.6194,    1.7229
 4001,apacheAZ            , 46210,1, 2021,    0.0638,  551.7859,     0.0551,  482.8213,   16.3202,  -68.9646,  -12.4984,     0.0588,  512.0688,   10.1319,  -39.7171,   -7.1979,     0.0586,  510.5543,   12.0404,  -41.2316,   -7.4724
 4001,apacheAZ            , 46211,1, 2021,    0.0660,  569.4820,     0.0565,  493.6923,   15.3492,  -75.7897,  -13.3085,     0.0603,  524.3167,   10.1797,  -45.1653,   -7.9309,     0.0591,  514.5894,   10.4782,  -54.8926,   -9.6390
 4001,apacheAZ            , 46212,1, 2021,    0.0670,  576.9285,     0.0567,  495.0614,   14.8052,  -81.8671,  -14.1902,     0.0608,  527.7373,   10.3356,  -49.1912,   -8.5264,     0.0593,  516.1051,   10.3581,  -60.8233,  -10.5426
 4001,apacheAZ            , 46213,1, 2021,    0.0662,  570.6637,     0.0566,  494.7286,   14.7984,  -75.9351,  -13.3064,     0.0609,  528.6701,   10.7766,  -41.9936,   -7.3587,     0.0587,  511.1281,   14.3834,  -59.5355,  -10.4327
 4001,apacheAZ            , 46670,1, 2021,    0.0601,  522.5271,     0.0555,  485.6341,   18.4025,  -36.8931,   -7.0605,     0.0590,  514.0077,    6.4510,   -8.5194,   -1.6304,     0.0593,  516.1366,   12.7066,   -6.3906,   -1.2230
