Fips,CountyState,gridID,Indx,Year,meanNDVIgrid,meanANPPgrid,NDVI_predict_2021_below,NPP_predict_2021_below,NPP_stdev_below,deltaNPP_below,pct_diffNPP_below,NDVI_predict_2021_avg,NPP_predict_2021_avg,NPP_stdev_avg,deltaNPP_avg,pct_diffNPP_avg,NDVI_predict_2021_above,NPP_predict_2021_above,NPP_stdev_above,deltaNPP_above,pct_diffNPP_above
 4001,apacheAZ            , 45748,1, 2021,    0.0555,  485.9852,     0.0411,  371.4347,   43.2090, -114.5504,  -23.5708,     0.0506,  446.5060,   32.0491,  -39.4791,   -8.1235,     0.0562,  491.0552,   32.9542,    5.0700,    1.0432
 4001,apacheAZ            , 45749,1, 2021,    0.0615,  533.3392,     0.0447,  400.3127,   47.1797, -133.0264,  -24.9422,     0.0537,  471.2272,   29.6351,  -62.1120,  -11.6459,     0.0592,  515.1697,   17.6544,  -18.1694,   -3.4067
 4001,apacheAZ            , 45750,1, 2021,    0.0640,  553.7768,     0.0463,  412.8606,   48.2955, -140.9162,  -25.4464,     0.0547,  479.6300,   25.6093,  -74.1468,  -13.3893,     0.0605,  525.6425,   13.7138,  -28.1343,   -5.0804
 4001,apacheAZ            , 45751,1, 2021,    0.0640,  553.5052,     0.0469,  417.7787,   50.3397, -135.7265,  -24.5213,     0.0553,  484.5598,   26.8240,  -68.9454,  -12.4561,     0.0600,  521.6598,   19.2787,  -31.8453,   -5.7534
 4001,apacheAZ            , 46209,1, 2021,    0.0573,  500.2960,     0.0424,  381.7044,   38.4760, -118.5916,  -23.7043,     0.0527,  463.9628,   32.6975,  -36.3332,   -7.2623,     0.0574,  501.1165,   32.0445,    0.8205,    0.1640
 4001,apacheAZ            , 46210,1, 2021,    0.0638,  551.7859,     0.0464,  413.5877,   45.0378, -138.1982,  -25.0456,     0.0551,  483.0323,   27.7276,  -68.7537,  -12.4602,     0.0604,  524.7254,   15.2027,  -27.0605,   -4.9042
 4001,apacheAZ            , 46211,1, 2021,    0.0660,  569.4820,     0.0495,  438.0770,   49.0558, -131.4050,  -23.0745,     0.0566,  494.9173,   28.5578,  -74.5647,  -13.0934,     0.0618,  535.6868,   18.0690,  -33.7952,   -5.9344
 4001,apacheAZ            , 46212,1, 2021,    0.0670,  576.9285,     0.0500,  442.4461,   49.6993, -134.4824,  -23.3101,     0.0577,  503.5991,   30.6278,  -73.3293,  -12.7103,     0.0616,  534.6571,   24.6124,  -42.2714,   -7.3270
 4001,apacheAZ            , 46213,1, 2021,    0.0662,  570.6637,     0.0491,  435.2105,   46.2644, -135.4531,  -23.7361,     0.0581,  506.5389,   29.9370,  -64.1247,  -11.2369,     0.0601,  522.0136,   26.7974,  -48.6501,   -8.5252
 4001,apacheAZ            , 46670,1, 2021,    0.0601,  522.5271,     0.0444,  397.8328,   39.1369, -124.6944,  -23.8637,     0.0536,  470.9861,   31.9888,  -51.5410,   -9.8638,     0.0590,  514.0129,   21.4750,   -8.5142,   -1.6294
 4001,apacheAZ            , 46671,1, 2021,    0.0654,  564.3469,     0.0477,  423.5391,   41.9888, -140.8079,  -24.9506,     0.0566,  494.8282,   30.1528,  -69.5188,  -12.3184,     0.0609,  528.6897,   15.5224,  -35.6572,   -6.3183
