Fips,CountyState,gridID,Indx,Year,meanNDVIgrid,meanANPPgrid,NDVI_predict_2019_below,NPP_predict_2019_below,NPP_stdev_below,deltaNPP_below,pct_diffNPP_below,NDVI_predict_2019_avg,NPP_predict_2019_avg,NPP_stdev_avg,deltaNPP_avg,pct_diffNPP_avg,NDVI_predict_2019_above,NPP_predict_2019_above,NPP_stdev_above,deltaNPP_above,pct_diffNPP_above
 4001,apacheAZ            , 45748,1, 2021,    0.0346,  319.6503,     0.0318,  297.3205,    0.1412,  -22.3297,   -6.9857,     0.0319,  298.0994,    0.6089,  -21.5509,   -6.7420,     0.0324,  302.1301,    3.2491,  -17.5201,   -5.4810
 4001,apacheAZ            , 45749,1, 2021,    0.0350,  322.8500,     0.0326,  304.1384,    0.1491,  -18.7116,   -5.7958,     0.0328,  305.1132,    0.6979,  -17.7369,   -5.4938,     0.0333,  309.4032,    2.7928,  -13.4469,   -4.1650
 4001,apacheAZ            , 45750,1, 2021,    0.0350,  322.4866,     0.0332,  308.2804,    0.1901,  -14.2062,   -4.4052,     0.0333,  309.2754,    0.8183,  -13.2112,   -4.0967,     0.0339,  314.0080,    2.8562,   -8.4786,   -2.6291
 4001,apacheAZ            , 45751,1, 2021,    0.0349,  322.0694,     0.0331,  307.5518,    0.2108,  -14.5176,   -4.5076,     0.0332,  308.7638,    0.9938,  -13.3056,   -4.1313,     0.0338,  313.6738,    2.8725,   -8.3956,   -2.6068
 4001,apacheAZ            , 46209,1, 2021,    0.0350,  323.0371,     0.0327,  304.7735,    0.1676,  -18.2636,   -5.6537,     0.0328,  305.7403,    0.8278,  -17.2968,   -5.3544,     0.0333,  309.4057,    3.1810,  -13.6314,   -4.2198
 4001,apacheAZ            , 46210,1, 2021,    0.0352,  324.5155,     0.0332,  308.4438,    0.1463,  -16.0717,   -4.9525,     0.0333,  309.6356,    0.8666,  -14.8799,   -4.5853,     0.0338,  313.6838,    2.8951,  -10.8317,   -3.3378
 4001,apacheAZ            , 46211,1, 2021,    0.0350,  322.8019,     0.0342,  316.3491,    0.2007,   -6.4528,   -1.9990,     0.0343,  317.5725,    0.9938,   -5.2294,   -1.6200,     0.0349,  322.2022,    3.0101,   -0.5997,   -0.1858
 4001,apacheAZ            , 46212,1, 2021,    0.0349,  322.2302,     0.0343,  316.9859,    0.2117,   -5.2443,   -1.6275,     0.0344,  318.2165,    1.1101,   -4.0138,   -1.2456,     0.0350,  323.0857,    3.1575,    0.8555,    0.2655
 4001,apacheAZ            , 46213,1, 2021,    0.0347,  320.1964,     0.0342,  316.6602,    0.2454,   -3.5362,   -1.1044,     0.0344,  317.9413,    1.0299,   -2.2551,   -0.7043,     0.0350,  323.0435,    3.1823,    2.8471,    0.8892
 4001,apacheAZ            , 46670,1, 2021,    0.0353,  324.9363,     0.0333,  309.3196,    0.1777,  -15.6167,   -4.8061,     0.0334,  310.3942,    0.8107,  -14.5421,   -4.4754,     0.0339,  313.8959,    3.1329,  -11.0404,   -3.3977
 4001,apacheAZ            , 46671,1, 2021,    0.0352,  324.3605,     0.0340,  314.8895,    0.1938,   -9.4710,   -2.9199,     0.0342,  316.1637,    0.9542,   -8.1968,   -2.5271,     0.0346,  320.0630,    2.9726,   -4.2975,   -1.3249
 4001,apacheAZ            , 46672,1, 2021,    0.0350,  322.5338,     0.0345,  319.2152,    0.2223,   -3.3187,   -1.0289,     0.0347,  320.5279,    1.0395,   -2.0060,   -0.6219,     0.0352,  324.7534,    2.9737,    2.2196,    0.6882
 4001,apacheAZ            , 46673,1, 2021,    0.0347,  320.1306,     0.0349,  322.2147,    0.2355,    2.0841,    0.6510,     0.0351,  323.4259,    1.0853,    3.2953,    1.0294,     0.0356,  327.8890,    3.3269,    7.7584,    2.4235
 4001,apacheAZ            , 46674,1, 2021,    0.0345,  319.1289,     0.0349,  322.0818,    0.2478,    2.9530,    0.9253,     0.0351,  323.3366,    1.0873,    4.2078,    1.3185,     0.0356,  327.6800,    2.8912,    8.5511,    2.6795
