Fips,CountyState,gridID,Indx,Year,meanNDVIgrid,meanANPPgrid,NDVI_predict_2021_below,NPP_predict_2021_below,NPP_stdev_below,deltaNPP_below,pct_diffNPP_below,NDVI_predict_2021_avg,NPP_predict_2021_avg,NPP_stdev_avg,deltaNPP_avg,pct_diffNPP_avg,NDVI_predict_2021_above,NPP_predict_2021_above,NPP_stdev_above,deltaNPP_above,pct_diffNPP_above
 4001,apacheAZ            , 45748,1, 2021,    0.0555,  485.9852,     0.0652,  563.2259,    0.0000,   77.2408,   15.8936,     0.0652,  563.2259,    0.0000,   77.2408,   15.8936,     0.0652,  563.2259,    0.0000,   77.2408,   15.8936
 4001,apacheAZ            , 45749,1, 2021,    0.0615,  533.3392,     0.0669,  576.2429,    0.0000,   42.9037,    8.0444,     0.0669,  576.2429,    0.0000,   42.9037,    8.0444,     0.0669,  576.2429,    0.0000,   42.9037,    8.0444
 4001,apacheAZ            , 45750,1, 2021,    0.0640,  553.7768,     0.0666,  574.3249,    0.0000,   20.5481,    3.7105,     0.0666,  574.3249,    0.0000,   20.5481,    3.7105,     0.0666,  574.3249,    0.0000,   20.5481,    3.7105
 4001,apacheAZ            , 45751,1, 2021,    0.0640,  553.5052,     0.0652,  562.9272,    0.0000,    9.4221,    1.7023,     0.0652,  562.9272,    0.0000,    9.4221,    1.7023,     0.0652,  562.9272,    0.0000,    9.4221,    1.7023
 4001,apacheAZ            , 46209,1, 2021,    0.0573,  500.2960,     0.0666,  574.3564,    0.0000,   74.0604,   14.8033,     0.0666,  574.3564,    0.0000,   74.0604,   14.8033,     0.0666,  574.3564,    0.0000,   74.0604,   14.8033
 4001,apacheAZ            , 46210,1, 2021,    0.0638,  551.7859,     0.0682,  586.6187,    0.0000,   34.8327,    6.3127,     0.0682,  586.6187,    0.0000,   34.8327,    6.3127,     0.0682,  586.6187,    0.0000,   34.8327,    6.3127
 4001,apacheAZ            , 46211,1, 2021,    0.0660,  569.4820,     0.0690,  592.8913,    0.0000,   23.4093,    4.1106,     0.0690,  592.8913,    0.0000,   23.4093,    4.1106,     0.0690,  592.8913,    0.0000,   23.4093,    4.1106
 4001,apacheAZ            , 46212,1, 2021,    0.0670,  576.9285,     0.0687,  590.5646,    0.0000,   13.6361,    2.3636,     0.0687,  590.5646,    0.0000,   13.6361,    2.3636,     0.0687,  590.5646,    0.0000,   13.6361,    2.3636
 4001,apacheAZ            , 46213,1, 2021,    0.0662,  570.6637,     0.0671,  577.9250,    0.0000,    7.2613,    1.2724,     0.0671,  577.9250,    0.0000,    7.2613,    1.2724,     0.0671,  577.9250,    0.0000,    7.2613,    1.2724
 4001,apacheAZ            , 46670,1, 2021,    0.0601,  522.5271,     0.0675,  581.2578,    0.0000,   58.7307,   11.2397,     0.0675,  581.2578,    0.0000,   58.7307,   11.2397,     0.0675,  581.2578,    0.0000,   58.7307,   11.2397
