Fips,CountyState,gridID,Indx,Year,meanNDVIgrid,meanANPPgrid,NDVI_predict_2019_below,NPP_predict_2019_below,NPP_stdev_below,deltaNPP_below,pct_diffNPP_below,NDVI_predict_2019_avg,NPP_predict_2019_avg,NPP_stdev_avg,deltaNPP_avg,pct_diffNPP_avg,NDVI_predict_2019_above,NPP_predict_2019_above,NPP_stdev_above,deltaNPP_above,pct_diffNPP_above
 4001,apacheAZ            , 45748,1, 2020,    0.0345,  319.2480,     0.0377,  344.2599,    0.3659,   25.0120,    7.8347,     0.0378,  345.0011,    0.8804,   25.7532,    8.0668,     0.0382,  347.9442,    1.2675,   28.6962,    8.9887
 4001,apacheAZ            , 45749,1, 2020,    0.0350,  322.5441,     0.0378,  345.3727,    0.2897,   22.8286,    7.0777,     0.0380,  346.5856,    1.1486,   24.0415,    7.4537,     0.0383,  348.7185,    1.5553,   26.1744,    8.1150
 4001,apacheAZ            , 45750,1, 2020,    0.0349,  322.1919,     0.0374,  342.1348,    0.3571,   19.9428,    6.1897,     0.0376,  343.3274,    1.3906,   21.1355,    6.5599,     0.0378,  345.4352,    1.4898,   23.2433,    7.2141
 4001,apacheAZ            , 45751,1, 2020,    0.0349,  321.8287,     0.0372,  340.4619,    0.3860,   18.6332,    5.7898,     0.0374,  342.2066,    1.4726,   20.3779,    6.3319,     0.0377,  344.2468,    1.6038,   22.4181,    6.9659
 4001,apacheAZ            , 46209,1, 2020,    0.0350,  322.7871,     0.0380,  347.0373,    0.4874,   24.2502,    7.5128,     0.0381,  347.5207,    1.2295,   24.7336,    7.6625,     0.0384,  349.5341,    1.4137,   26.7470,    8.2863
 4001,apacheAZ            , 46210,1, 2020,    0.0352,  324.2007,     0.0376,  343.7771,    0.3254,   19.5764,    6.0384,     0.0378,  345.0148,    1.2710,   20.8141,    6.4201,     0.0380,  346.9806,    1.7066,   22.7798,    7.0265
 4001,apacheAZ            , 46211,1, 2020,    0.0350,  322.6785,     0.0369,  338.0435,    0.4248,   15.3650,    4.7617,     0.0371,  339.6052,    1.6821,   16.9267,    5.2457,     0.0373,  341.2276,    1.8807,   18.5491,    5.7485
 4001,apacheAZ            , 46212,1, 2020,    0.0349,  322.1603,     0.0368,  337.5559,    0.4744,   15.3956,    4.7789,     0.0370,  339.1092,    1.8820,   16.9490,    5.2610,     0.0372,  340.2865,    1.4465,   18.1262,    5.6265
 4001,apacheAZ            , 46213,1, 2020,    0.0347,  320.2173,     0.0365,  335.1461,    0.5444,   14.9288,    4.6621,     0.0368,  336.7944,    1.7584,   16.5771,    5.1768,     0.0369,  337.8653,    1.5231,   17.6480,    5.5112
 4001,apacheAZ            , 46670,1, 2020,    0.0352,  324.8353,     0.0375,  342.8169,    0.4640,   17.9816,    5.5356,     0.0377,  343.9996,    1.2614,   19.1643,    5.8997,     0.0378,  345.3120,    1.8142,   20.4767,    6.3037
 4001,apacheAZ            , 46671,1, 2020,    0.0352,  324.1917,     0.0372,  340.0521,    0.4439,   15.8604,    4.8923,     0.0373,  341.1141,    1.3961,   16.9224,    5.2199,     0.0375,  342.9193,    1.9911,   18.7276,    5.7767
 4001,apacheAZ            , 46672,1, 2020,    0.0349,  322.4073,     0.0366,  335.7087,    0.5650,   13.3014,    4.1257,     0.0367,  336.7642,    1.7394,   14.3569,    4.4530,     0.0370,  338.6826,    1.9781,   16.2753,    5.0481
 4001,apacheAZ            , 46673,1, 2020,    0.0347,  320.0828,     0.0363,  332.9416,    0.8659,   12.8588,    4.0173,     0.0364,  333.7720,    2.1143,   13.6893,    4.2768,     0.0366,  335.6711,    1.9907,   15.5883,    4.8701
 4001,apacheAZ            , 46674,1, 2020,    0.0345,  319.1053,     0.0364,  334.3715,    0.8817,   15.2662,    4.7841,     0.0365,  335.0385,    2.1943,   15.9333,    4.9931,     0.0367,  336.1485,    1.7818,   17.0432,    5.3409
 4001,apacheAZ            , 46675,1, 2020,    0.0346,  319.8507,     0.0365,  335.1386,    0.7182,   15.2879,    4.7797,     0.0366,  335.9297,    1.7898,   16.0790,    5.0270,     0.0369,  337.6494,    1.9563,   17.7986,    5.5647
 4001,apacheAZ            , 46676,1, 2020,    0.0347,  320.5324,     0.0369,  337.9968,    0.6350,   17.4643,    5.4485,     0.0370,  339.0385,    1.4579,   18.5061,    5.7735,     0.0373,  341.2014,    2.1179,   20.6689,    6.4483
 4001,apacheAZ            , 46677,1, 2020,    0.0347,  320.4289,     0.0368,  336.9881,    0.7207,   16.5591,    5.1678,     0.0369,  338.3013,    1.5654,   17.8724,    5.5777,     0.0373,  340.9615,    2.0989,   20.5326,    6.4078
 4001,apacheAZ            , 47132,1, 2020,    0.0352,  324.2557,     0.0369,  338.3019,    0.4423,   14.0462,    4.3318,     0.0371,  339.4269,    1.3141,   15.1713,    4.6788,     0.0372,  340.7057,    2.2487,   16.4500,    5.0732
 4001,apacheAZ            , 47133,1, 2020,    0.0347,  320.4512,     0.0361,  331.9942,    0.7664,   11.5430,    3.6021,     0.0363,  333.0574,    1.9838,   12.6061,    3.9339,     0.0364,  334.3133,    2.5561,   13.8621,    4.3258
 4001,apacheAZ            , 47134,1, 2020,    0.0344,  318.4379,     0.0359,  329.8129,    1.1007,   11.3750,    3.5721,     0.0360,  330.8330,    2.2649,   12.3951,    3.8925,     0.0362,  332.3139,    2.5472,   13.8761,    4.3575
 4001,apacheAZ            , 47135,1, 2020,    0.0344,  317.8675,     0.0363,  332.9752,    1.0997,   15.1078,    4.7528,     0.0364,  333.6409,    2.3017,   15.7734,    4.9622,     0.0365,  334.6809,    2.1399,   16.8134,    5.2894
 4001,apacheAZ            , 47136,1, 2020,    0.0346,  319.3173,     0.0365,  334.5583,    1.0212,   15.2410,    4.7730,     0.0366,  335.2302,    2.2431,   15.9129,    4.9834,     0.0368,  336.7876,    1.9837,   17.4703,    5.4711
 4001,apacheAZ            , 47137,1, 2020,    0.0348,  321.3186,     0.0365,  334.9789,    0.8526,   13.6604,    4.2513,     0.0366,  335.8630,    1.5680,   14.5444,    4.5265,     0.0369,  338.2717,    2.3043,   16.9531,    5.2761
 4001,apacheAZ            , 47138,1, 2020,    0.0346,  319.8464,     0.0368,  337.5077,    0.7759,   17.6613,    5.5218,     0.0370,  338.4607,    1.3940,   18.6144,    5.8198,     0.0373,  341.1426,    2.2149,   21.2962,    6.6583
 4001,apacheAZ            , 47593,1, 2020,    0.0351,  323.3162,     0.0367,  336.6835,    0.6522,   13.3673,    4.1344,     0.0368,  337.4803,    1.4342,   14.1641,    4.3809,     0.0369,  338.1724,    2.4495,   14.8562,    4.5950
 4001,apacheAZ            , 47594,1, 2020,    0.0346,  319.6794,     0.0362,  332.2646,    0.8049,   12.5851,    3.9368,     0.0362,  332.6116,    1.8015,   12.9322,    4.0454,     0.0364,  333.7926,    2.3925,   14.1131,    4.4148
 4001,apacheAZ            , 47595,1, 2020,    0.0344,  318.4349,     0.0359,  330.3173,    1.2060,   11.8824,    3.7315,     0.0360,  330.5019,    2.6903,   12.0669,    3.7895,     0.0361,  331.9266,    2.3058,   13.4917,    4.2369
 4001,apacheAZ            , 47596,1, 2020,    0.0345,  318.8628,     0.0362,  332.1494,    1.1208,   13.2866,    4.1669,     0.0363,  333.1478,    2.3535,   14.2850,    4.4800,     0.0364,  334.2218,    2.2088,   15.3590,    4.8168
 4001,apacheAZ            , 47597,1, 2020,    0.0346,  319.8175,     0.0363,  333.0200,    1.0942,   13.2025,    4.1281,     0.0363,  333.5017,    2.0174,   13.6842,    4.2788,     0.0366,  335.7310,    2.2078,   15.9135,    4.9758
 4001,apacheAZ            , 47598,1, 2020,    0.0346,  319.9876,     0.0365,  334.6005,    0.9078,   14.6129,    4.5667,     0.0365,  335.1589,    1.6976,   15.1713,    4.7412,     0.0369,  337.8564,    2.6106,   17.8688,    5.5842
 4001,apacheAZ            , 47599,1, 2020,    0.0344,  317.7992,     0.0365,  334.8537,    0.8536,   17.0545,    5.3664,     0.0366,  335.5447,    1.4753,   17.7455,    5.5839,     0.0369,  338.2959,    2.3934,   20.4967,    6.4496
 4001,apacheAZ            , 48054,1, 2020,    0.0348,  321.5614,     0.0365,  334.4585,    0.8768,   12.8971,    4.0108,     0.0366,  335.2464,    1.0922,   13.6851,    4.2558,     0.0366,  335.2795,    2.3861,   13.7182,    4.2661
 4001,apacheAZ            , 48055,1, 2020,    0.0348,  321.2000,     0.0362,  332.5697,    0.7129,   11.3697,    3.5397,     0.0363,  333.0371,    2.1036,   11.8371,    3.6853,     0.0364,  333.9745,    1.8635,   12.7745,    3.9771
 4001,apacheAZ            , 48056,1, 2020,    0.0347,  320.4485,     0.0361,  331.4119,    1.0204,   10.9634,    3.4213,     0.0361,  331.9745,    2.1971,   11.5260,    3.5968,     0.0363,  333.4139,    1.8109,   12.9654,    4.0460
 4001,apacheAZ            , 48057,1, 2020,    0.0347,  320.3727,     0.0361,  331.7090,    1.0727,   11.3363,    3.5385,     0.0362,  332.2472,    2.2461,   11.8744,    3.7064,     0.0364,  334.2811,    2.1547,   13.9084,    4.3413
 4001,apacheAZ            , 48058,1, 2020,    0.0344,  318.3342,     0.0362,  332.6838,    1.0175,   14.3496,    4.5077,     0.0363,  333.1332,    1.9419,   14.7990,    4.6489,     0.0366,  335.5131,    2.3549,   17.1788,    5.3965
 4001,apacheAZ            , 48059,1, 2020,    0.0344,  318.2566,     0.0359,  329.8328,    0.6463,   11.5762,    3.6374,     0.0360,  331.1270,    1.1214,   12.8704,    4.0440,     0.0365,  334.4496,    2.5685,   16.1931,    5.0881
 4001,apacheAZ            , 48060,1, 2020,    0.0344,  317.9613,     0.0363,  333.4646,    0.8170,   15.5033,    4.8758,     0.0365,  334.5686,    1.8098,   16.6072,    5.2230,     0.0367,  336.6555,    2.2623,   18.6942,    5.8794
 4001,apacheAZ            , 48061,1, 2020,    0.0342,  316.2499,     0.0365,  334.7924,    0.7979,   18.5425,    5.8632,     0.0366,  335.5122,    1.1833,   19.2623,    6.0908,     0.0369,  338.3219,    1.7073,   22.0719,    6.9793
