Fips,CountyState,gridID,Indx,Year,meanNDVIgrid,meanANPPgrid,NDVI_predict_2019_below,NPP_predict_2019_below,NPP_stdev_below,deltaNPP_below,pct_diffNPP_below,NDVI_predict_2019_avg,NPP_predict_2019_avg,NPP_stdev_avg,deltaNPP_avg,pct_diffNPP_avg,NDVI_predict_2019_above,NPP_predict_2019_above,NPP_stdev_above,deltaNPP_above,pct_diffNPP_above
 4001,apacheAZ            , 45748,1, 2021,    0.0346,  319.6503,     0.0318,  297.0647,    0.8524,  -22.5855,   -7.0657,     0.0321,  299.8227,    1.5735,  -19.8275,   -6.2029,     0.0336,  311.3310,    7.9564,   -8.3193,   -2.6026
 4001,apacheAZ            , 45749,1, 2021,    0.0350,  322.8500,     0.0326,  303.7908,    0.8453,  -19.0593,   -5.9034,     0.0331,  307.6678,    1.2539,  -15.1822,   -4.7026,     0.0347,  320.4010,   10.4953,   -2.4491,   -0.7586
 4001,apacheAZ            , 45750,1, 2021,    0.0350,  322.4866,     0.0330,  307.2703,    0.8730,  -15.2163,   -4.7184,     0.0337,  312.2105,    2.1084,  -10.2761,   -3.1865,     0.0352,  324.3425,    9.9379,    1.8559,    0.5755
 4001,apacheAZ            , 45751,1, 2021,    0.0349,  322.0694,     0.0330,  306.8340,    1.2388,  -15.2354,   -4.7305,     0.0336,  311.5178,    2.2811,  -10.5516,   -3.2762,     0.0352,  324.3516,    8.5257,    2.2822,    0.7086
 4001,apacheAZ            , 46209,1, 2021,    0.0350,  323.0371,     0.0327,  304.2006,    1.0012,  -18.8365,   -5.8311,     0.0330,  307.2694,    1.9782,  -15.7677,   -4.8811,     0.0345,  318.6890,    8.4556,   -4.3481,   -1.3460
 4001,apacheAZ            , 46210,1, 2021,    0.0352,  324.5155,     0.0331,  308.1250,    0.8634,  -16.3905,   -5.0508,     0.0337,  312.7350,    1.8706,  -11.7805,   -3.6302,     0.0352,  324.7340,    9.3662,    0.2185,    0.0673
 4001,apacheAZ            , 46211,1, 2021,    0.0350,  322.8019,     0.0340,  315.1365,    0.9135,   -7.6654,   -2.3747,     0.0347,  320.3100,    2.2538,   -2.4919,   -0.7720,     0.0360,  330.9197,    6.6451,    8.1177,    2.5148
 4001,apacheAZ            , 46212,1, 2021,    0.0349,  322.2302,     0.0341,  315.5817,    0.8987,   -6.6486,   -2.0633,     0.0348,  320.9143,    2.3602,   -1.3159,   -0.4084,     0.0361,  331.3406,    5.2536,    9.1104,    2.8273
 4001,apacheAZ            , 46213,1, 2021,    0.0347,  320.1964,     0.0340,  314.9565,    1.3766,   -5.2399,   -1.6365,     0.0347,  320.0779,    2.8271,   -0.1185,   -0.0370,     0.0359,  329.7404,    5.3962,    9.5440,    2.9807
 4001,apacheAZ            , 46670,1, 2021,    0.0353,  324.9363,     0.0332,  308.8180,    1.0432,  -16.1183,   -4.9605,     0.0337,  312.3406,    2.0533,  -12.5958,   -3.8764,     0.0351,  323.8500,    9.3756,   -1.0864,   -0.3343
 4001,apacheAZ            , 46671,1, 2021,    0.0352,  324.3605,     0.0339,  314.0879,    0.9365,  -10.2727,   -3.1671,     0.0345,  319.0520,    2.2383,   -5.3085,   -1.6366,     0.0358,  329.4224,    7.2836,    5.0619,    1.5606
 4001,apacheAZ            , 46672,1, 2021,    0.0350,  322.5338,     0.0344,  317.8591,    0.9386,   -4.6747,   -1.4494,     0.0351,  323.3352,    2.2454,    0.8014,    0.2485,     0.0362,  332.2862,    4.8720,    9.7524,    3.0237
 4001,apacheAZ            , 46673,1, 2021,    0.0347,  320.1306,     0.0347,  320.2609,    1.1769,    0.1303,    0.0407,     0.0353,  324.8857,    1.6709,    4.7551,    1.4854,     0.0361,  331.5140,    3.6712,   11.3834,    3.5558
 4001,apacheAZ            , 46674,1, 2021,    0.0345,  319.1289,     0.0347,  320.2786,    1.5188,    1.1498,    0.3603,     0.0352,  324.4366,    2.0673,    5.3077,    1.6632,     0.0360,  330.6362,    4.2286,   11.5073,    3.6059
 4001,apacheAZ            , 46675,1, 2021,    0.0346,  319.7733,     0.0343,  317.5585,    1.3504,   -2.2147,   -0.6926,     0.0350,  322.6665,    2.8342,    2.8932,    0.9048,     0.0360,  330.7311,    5.1966,   10.9579,    3.4268
 4001,apacheAZ            , 46676,1, 2021,    0.0347,  320.5554,     0.0336,  311.8027,    1.1763,   -8.7527,   -2.7305,     0.0342,  316.7318,    2.5043,   -3.8236,   -1.1928,     0.0358,  328.9100,    5.7573,    8.3545,    2.6063
 4001,apacheAZ            , 46677,1, 2021,    0.0347,  320.4399,     0.0333,  309.0744,    1.2008,  -11.3656,   -3.5469,     0.0339,  314.3793,    2.8973,   -6.0606,   -1.8913,     0.0354,  326.1619,    6.7589,    5.7220,    1.7857
 4001,apacheAZ            , 47132,1, 2021,    0.0352,  324.4055,     0.0342,  316.5761,    0.9252,   -7.8294,   -2.4135,     0.0348,  321.1402,    2.2070,   -3.2653,   -1.0066,     0.0360,  330.4380,    6.5623,    6.0325,    1.8595
 4001,apacheAZ            , 47133,1, 2021,    0.0347,  320.5871,     0.0345,  318.8373,    1.1684,   -1.7498,   -0.5458,     0.0351,  323.7690,    2.0758,    3.1819,    0.9925,     0.0360,  330.9755,    3.8816,   10.3885,    3.2404
 4001,apacheAZ            , 47134,1, 2021,    0.0344,  318.4325,     0.0349,  322.0456,    1.6050,    3.6131,    1.1346,     0.0354,  326.3177,    2.9063,    7.8851,    2.4762,     0.0357,  328.4274,    5.0292,    9.9949,    3.1388
 4001,apacheAZ            , 47135,1, 2021,    0.0344,  317.8289,     0.0348,  321.4567,    1.5301,    3.6278,    1.1414,     0.0354,  325.7650,    3.3711,    7.9361,    2.4970,     0.0357,  328.2421,    4.8377,   10.4132,    3.2763
 4001,apacheAZ            , 47136,1, 2021,    0.0345,  319.2480,     0.0343,  317.6418,    1.6115,   -1.6062,   -0.5031,     0.0349,  322.0191,    2.6285,    2.7711,    0.8680,     0.0359,  330.3963,    3.9714,   11.1484,    3.4921
 4001,apacheAZ            , 47137,1, 2021,    0.0348,  321.1141,     0.0340,  314.7181,    1.3585,   -6.3960,   -1.9918,     0.0346,  319.7157,    3.1148,   -1.3984,   -0.4355,     0.0358,  329.6058,    6.2992,    8.4917,    2.6445
 4001,apacheAZ            , 47138,1, 2021,    0.0346,  319.7943,     0.0335,  311.2597,    1.1804,   -8.5346,   -2.6688,     0.0342,  316.1295,    2.3398,   -3.6648,   -1.1460,     0.0355,  327.0409,    6.7281,    7.2466,    2.2660
 4001,apacheAZ            , 47593,1, 2021,    0.0351,  323.4926,     0.0346,  319.7764,    1.2267,   -3.7162,   -1.1488,     0.0351,  323.7119,    2.2998,    0.2193,    0.0678,     0.0360,  330.4351,    5.0365,    6.9425,    2.1461
 4001,apacheAZ            , 47594,1, 2021,    0.0346,  319.8100,     0.0348,  321.0441,    1.6563,    1.2341,    0.3859,     0.0352,  324.3348,    2.4363,    4.5248,    1.4148,     0.0357,  328.1043,    4.4311,    8.2944,    2.5935
