Fips,CountyState,gridID,Indx,Year,meanNDVIgrid,meanANPPgrid,NDVI_predict_2021_below,NPP_predict_2021_below,NPP_stdev_below,deltaNPP_below,pct_diffNPP_below,NDVI_predict_2021_avg,NPP_predict_2021_avg,NPP_stdev_avg,deltaNPP_avg,pct_diffNPP_avg,NDVI_predict_2021_above,NPP_predict_2021_above,NPP_stdev_above,deltaNPP_above,pct_diffNPP_above
4001,apacheAZ            ,45748,1,2021,0.0555,485.9852,0.0613,532.0396,11.5634,46.0544,9.4765,0.0636,550.1239,7.2618,64.1387,13.1977,0.0637,551.2951,4.9248,65.3099,13.4387
4001,apacheAZ            ,45749,1,2021,0.0615,533.3392,0.0634,548.7221,11.899,15.3829,2.8843,0.0652,563.1172,5.4375,29.778,5.5833,0.0651,562.1753,5.3235,28.8361,5.4067
4001,apacheAZ            ,45750,1,2021,0.064,553.7768,0.0633,547.6649,12.9963,-6.1119,-1.1037,0.0651,562.2447,5.3909,8.4679,1.5291,0.0649,560.5167,5.6054,6.7399,1.2171
4001,apacheAZ            ,45751,1,2021,0.064,553.5052,0.0626,541.9123,15.7378,-11.5929,-2.0944,0.0645,557.0948,5.1244,3.5896,0.6485,0.0645,557.0109,6.3994,3.5058,0.6334
4001,apacheAZ            ,46209,1,2021,0.0573,500.296,0.0657,566.9649,4.0752,66.6689,13.3259,0.0659,568.858,2.7662,68.562,13.7043,0.0657,566.9728,5.8108,66.6768,13.3275
4001,apacheAZ            ,46210,1,2021,0.0638,551.7859,0.0662,570.8126,7.4922,19.0267,3.4482,0.0667,574.6315,4.8256,22.8455,4.1403,0.066,569.6597,5.1796,17.8738,3.2393
4001,apacheAZ            ,46211,1,2021,0.066,569.482,0.0665,573.4956,9.2521,4.0136,0.7048,0.0673,579.3766,5.6208,9.8946,1.7375,0.0664,572.2642,5.9339,2.7822,0.4885
4001,apacheAZ            ,46212,1,2021,0.067,576.9285,0.0665,573.5755,12.7177,-3.3529,-0.5812,0.0671,578.1399,5.7722,1.2114,0.21,0.0665,573.2899,5.9951,-3.6385,-0.6307
4001,apacheAZ            ,46213,1,2021,0.0662,570.6637,0.0659,568.6287,12.8967,-2.035,-0.3566,0.0666,574.0524,8.3558,3.3887,0.5938,0.0657,567.2767,8.8708,-3.387,-0.5935
4001,apacheAZ            ,46670,1,2021,0.0601,522.5271,0.0671,578.1451,4.6176,55.618,10.644,0.0666,574.2253,3.6052,51.6982,9.8939,0.0663,571.5213,5.6328,48.9942,9.3764
4001,apacheAZ            ,46671,1,2021,0.0654,564.3469,0.0672,578.5971,4.6099,14.2501,2.5251,0.0669,576.4616,5.0162,12.1147,2.1467,0.0662,570.9371,4.8866,6.5901,1.1677
4001,apacheAZ            ,46672,1,2021,0.0667,574.4909,0.0672,578.8041,6.6453,4.3132,0.7508,0.0672,579.218,4.7183,4.7272,0.8228,0.0662,570.8886,6.2106,-3.6023,-0.627
4001,apacheAZ            ,46673,1,2021,0.068,585.0378,0.0676,582.0465,7.7154,-2.9913,-0.5113,0.0677,582.9465,7.2096,-2.0913,-0.3575,0.0665,572.9585,7.0478,-12.0793,-2.0647
4001,apacheAZ            ,46674,1,2021,0.0678,583.2295,0.0676,582.2862,8.3248,-0.9433,-0.1617,0.0678,583.9343,9.2183,0.7048,0.1208,0.0665,573.4524,8.4095,-9.7771,-1.6764
4001,apacheAZ            ,46675,1,2021,0.0665,573.6402,0.0669,576.2284,9.6607,2.5883,0.4512,0.067,577.4298,9.7853,3.7896,0.6606,0.066,569.6885,8.7838,-3.9516,-0.6889
4001,apacheAZ            ,46676,1,2021,0.0654,564.6858,0.0649,560.6975,12.6043,-3.9883,-0.7063,0.0659,568.3431,9.3714,3.6573,0.6477,0.0654,564.9251,6.7537,0.2393,0.0424
4001,apacheAZ            ,46677,1,2021,0.063,545.1486,0.0641,554.2506,13.1694,9.102,1.6696,0.0655,565.4649,7.6028,20.3162,3.7267,0.0653,563.7382,4.8117,18.5895,3.41
4001,apacheAZ            ,47132,1,2021,0.0652,562.6552,0.0672,578.9862,5.914,16.331,2.9025,0.0669,576.1407,3.8616,13.4855,2.3968,0.0663,571.6157,4.9135,8.9605,1.5925
4001,apacheAZ            ,47133,1,2021,0.0671,578.3857,0.0671,577.6564,8.2971,-0.7293,-0.1261,0.0668,575.5433,5.651,-2.8424,-0.4914,0.0658,567.6776,6.0799,-10.7081,-1.8514
4001,apacheAZ            ,47134,1,2021,0.0676,581.6688,0.0677,582.6635,9.9142,0.9948,0.171,0.0673,579.5233,8.2763,-2.1455,-0.3688,0.0662,571.0379,7.1343,-10.6308,-1.8276
4001,apacheAZ            ,47135,1,2021,0.0674,580.4045,0.0679,584.5474,8.6918,4.1429,0.7138,0.0678,583.2937,10.0503,2.8892,0.4978,0.0663,571.8528,9.9935,-8.5517,-1.4734
4001,apacheAZ            ,47136,1,2021,0.067,576.9058,0.0669,576.6267,8.2054,-0.279,-0.0484,0.067,577.3525,8.111,0.4467,0.0774,0.066,569.0715,7.1954,-7.8343,-1.358
4001,apacheAZ            ,47137,1,2021,0.0648,559.8739,0.0664,572.4056,8.2607,12.5318,2.2383,0.0665,573.4367,7.2589,13.5628,2.4225,0.066,569.2038,6.6064,9.3299,1.6664
4001,apacheAZ            ,47138,1,2021,0.0619,536.9567,0.0651,561.8857,11.7527,24.929,4.6426,0.0662,570.5493,6.9525,33.5925,6.2561,0.0656,566.3937,5.7062,29.437,5.4822
4001,apacheAZ            ,47593,1,2021,0.0667,575.152,0.0675,581.1845,5.9609,6.0325,1.0488,0.0671,577.739,3.5507,2.587,0.4498,0.0665,573.5231,4.9763,-1.6289,-0.2832
4001,apacheAZ            ,47594,1,2021,0.0678,583.4295,0.0675,580.8399,7.2377,-2.5896,-0.4439,0.0669,576.3477,4.2795,-7.0818,-1.2138,0.0662,570.6803,6.3339,-12.7492,-2.1852
4001,apacheAZ            ,47595,1,2021,0.0678,583.8727,0.0683,587.5383,10.0076,3.6656,0.6278,0.0677,582.847,7.8565,-1.0258,-0.1757,0.0669,576.311,8.7374,-7.5618,-1.2951
4001,apacheAZ            ,47596,1,2021,0.0665,573.5057,0.0677,582.4448,8.385,8.9391,1.5587,0.0672,578.8578,9.4213,5.3521,0.9332,0.0661,569.8641,7.8922,-3.6416,-0.635
4001,apacheAZ            ,47597,1,2021,0.0656,566.2614,0.067,577.0459,6.3483,10.7845,1.9045,0.0669,576.2769,8.0823,10.0155,1.7687,0.0658,567.4025,6.4409,1.1411,0.2015
4001,apacheAZ            ,47598,1,2021,0.0621,538.5795,0.0651,561.8818,8.2151,23.3023,4.3266,0.0653,563.4919,6.9544,24.9124,4.6256,0.0646,558.3092,6.7678,19.7297,3.6633
4001,apacheAZ            ,47599,1,2021,0.0608,527.7539,0.0632,547.2784,11.0753,19.5245,3.6995,0.064,553.7934,7.3979,26.0395,4.934,0.0634,548.6265,5.8863,20.8726,3.955
