Fips,CountyState,gridID,Indx,Year,meanNDVIgrid,meanANPPgrid,NDVI_predict_2021_below,NPP_predict_2021_below,NPP_stdev_below,deltaNPP_below,pct_diffNPP_below,NDVI_predict_2021_avg,NPP_predict_2021_avg,NPP_stdev_avg,deltaNPP_avg,pct_diffNPP_avg,NDVI_predict_2021_above,NPP_predict_2021_above,NPP_stdev_above,deltaNPP_above,pct_diffNPP_above
 4001,apacheAZ            , 45748,1, 2021,    0.0555,  485.9852,     0.0419,  377.7545,   37.2210, -108.2306,  -22.2704,     0.0517,  455.8207,   15.0918,  -30.1645,   -6.2069,     0.0518,  456.1967,   31.8351,  -29.7885,   -6.1295
 4001,apacheAZ            , 45749,1, 2021,    0.0615,  533.3392,     0.0455,  406.3155,   43.4781, -127.0237,  -23.8167,     0.0538,  472.4560,   21.3107,  -60.8832,  -11.4155,     0.0547,  479.7361,   19.7543,  -53.6031,  -10.0505
 4001,apacheAZ            , 45750,1, 2021,    0.0640,  553.7768,     0.0472,  419.9482,   45.3149, -133.8286,  -24.1665,     0.0545,  477.7723,   21.1667,  -76.0045,  -13.7248,     0.0559,  488.9171,   18.2152,  -64.8597,  -11.7122
 4001,apacheAZ            , 45751,1, 2021,    0.0640,  553.5052,     0.0478,  424.8007,   41.5470, -128.7045,  -23.2526,     0.0561,  490.6805,   19.3331,  -62.8247,  -11.3503,     0.0559,  488.8713,   18.9109,  -64.6339,  -11.6772
 4001,apacheAZ            , 46209,1, 2021,    0.0573,  500.2960,     0.0439,  393.7807,   37.8235, -106.5153,  -21.2905,     0.0520,  457.6535,   27.8066,  -42.6425,   -8.5235,     0.0542,  475.3814,   24.8038,  -24.9146,   -4.9800
 4001,apacheAZ            , 46210,1, 2021,    0.0638,  551.7859,     0.0476,  423.2102,   45.0564, -128.5757,  -23.3017,     0.0548,  480.5130,   22.1871,  -71.2729,  -12.9168,     0.0558,  488.3014,   17.7448,  -63.4845,  -11.5053
 4001,apacheAZ            , 46211,1, 2021,    0.0660,  569.4820,     0.0503,  444.1112,   45.3956, -125.3708,  -22.0149,     0.0567,  495.2815,   21.9727,  -74.2005,  -13.0295,     0.0571,  498.3706,   16.1184,  -71.1114,  -12.4870
 4001,apacheAZ            , 46212,1, 2021,    0.0670,  576.9285,     0.0509,  449.4537,   44.8457, -127.4748,  -22.0954,     0.0576,  502.3742,   19.8991,  -74.5542,  -12.9226,     0.0576,  502.6441,   18.7005,  -74.2844,  -12.8758
 4001,apacheAZ            , 46213,1, 2021,    0.0662,  570.6637,     0.0511,  450.9681,   46.4439, -119.6955,  -20.9748,     0.0575,  501.6104,   22.6245,  -69.0532,  -12.1005,     0.0570,  497.9475,   19.8703,  -72.7162,  -12.7424
 4001,apacheAZ            , 46670,1, 2021,    0.0601,  522.5271,     0.0465,  413.8838,   37.7402, -108.6433,  -20.7919,     0.0541,  474.3255,   27.0293,  -48.2016,   -9.2247,     0.0555,  486.1253,   23.0276,  -36.4018,   -6.9665
 4001,apacheAZ            , 46671,1, 2021,    0.0654,  564.3469,     0.0494,  437.0198,   43.6088, -127.3272,  -22.5619,     0.0562,  491.0761,   24.4035,  -73.2708,  -12.9833,     0.0564,  493.0635,   14.9869,  -71.2834,  -12.6311
 4001,apacheAZ            , 46672,1, 2021,    0.0667,  574.4909,     0.0505,  446.1025,   44.5977, -128.3883,  -22.3482,     0.0563,  492.4412,   20.5490,  -82.0496,  -14.2821,     0.0566,  494.1980,   14.6768,  -80.2928,  -13.9763
