Fips,CountyState,gridID,Indx,Year,meanNDVIgrid,meanANPPgrid,NDVI_predict_2021_below,NPP_predict_2021_below,NPP_stdev_below,deltaNPP_below,pct_diffNPP_below,NDVI_predict_2021_avg,NPP_predict_2021_avg,NPP_stdev_avg,deltaNPP_avg,pct_diffNPP_avg,NDVI_predict_2021_above,NPP_predict_2021_above,NPP_stdev_above,deltaNPP_above,pct_diffNPP_above
 4001,apacheAZ            , 45748,1, 2021,    0.0555,  485.9852,     0.0414,  373.9291,   40.1117, -112.0561,  -23.0575,     0.0516,  455.0923,   31.2798,  -30.8929,   -6.3568,     0.0598,  519.7576,   24.6904,   33.7725,    6.9493
 4001,apacheAZ            , 45749,1, 2021,    0.0615,  533.3392,     0.0455,  406.3299,   48.8776, -127.0093,  -23.8140,     0.0545,  477.4880,   33.3712,  -55.8512,  -10.4720,     0.0629,  544.9255,   23.3260,   11.5863,    2.1724
 4001,apacheAZ            , 45750,1, 2021,    0.0640,  553.7768,     0.0471,  419.1372,   52.0386, -134.6396,  -24.3130,     0.0561,  490.3765,   33.4356,  -63.4003,  -11.4487,     0.0641,  553.8039,   30.2181,    0.0271,    0.0049
 4001,apacheAZ            , 45751,1, 2021,    0.0640,  553.5052,     0.0476,  423.1290,   52.5478, -130.3762,  -23.5546,     0.0573,  499.9073,   31.9814,  -53.5978,   -9.6833,     0.0637,  550.7540,   33.8356,   -2.7512,   -0.4970
 4001,apacheAZ            , 46209,1, 2021,    0.0573,  500.2960,     0.0427,  383.8739,   38.0283, -116.4221,  -23.2706,     0.0537,  471.6163,   37.3340,  -28.6798,   -5.7326,     0.0600,  521.2301,   35.9560,   20.9341,    4.1844
 4001,apacheAZ            , 46210,1, 2021,    0.0638,  551.7859,     0.0468,  416.4935,   43.4343, -135.2924,  -24.5190,     0.0564,  492.6299,   30.7308,  -59.1561,  -10.7208,     0.0639,  552.6707,   27.6421,    0.8847,    0.1603
 4001,apacheAZ            , 46211,1, 2021,    0.0660,  569.4820,     0.0505,  446.1078,   53.8396, -123.3742,  -21.6643,     0.0575,  501.7284,   31.0355,  -67.7536,  -11.8974,     0.0657,  567.1195,   37.0271,   -2.3625,   -0.4149
 4001,apacheAZ            , 46212,1, 2021,    0.0670,  576.9285,     0.0511,  450.5764,   56.3005, -126.3520,  -21.9008,     0.0581,  506.5966,   29.3588,  -70.3319,  -12.1907,     0.0661,  570.3462,   37.4663,   -6.5823,   -1.1409
 4001,apacheAZ            , 46213,1, 2021,    0.0662,  570.6637,     0.0501,  442.8457,   50.7604, -127.8180,  -22.3981,     0.0593,  516.0829,   28.5496,  -54.5808,   -9.5644,     0.0642,  554.8572,   42.9783,  -15.8065,   -2.7698
 4001,apacheAZ            , 46670,1, 2021,    0.0601,  522.5271,     0.0447,  400.0560,   38.4213, -122.4712,  -23.4382,     0.0546,  478.4496,   36.0000,  -44.0775,   -8.4354,     0.0618,  535.9868,   24.0246,   13.4597,    2.5759
