Fips,CountyState,gridID,Indx,Year,meanNDVIgrid,meanANPPgrid,PPTgs_below,NDVI_predict_below,NPP_predict_below,NPP_stdev_below,deltaNPP_below,pct_diffNPP_below,PPTgs_avg,NDVI_predict_avg,NPP_predict_avg,NPP_stdev_avg,deltaNPP_avg,pct_diffNPP_avg,PPTgs_above,NDVI_predict_above,NPP_predict_above,NPP_stdev_above,deltaNPP_above,pct_diffNPP_above,pptWatYrReceived,pptAvgWatYrReceived,pptGSremainder_below,pptGSremainder_avg,pptGSremainder_above
4003,cochiseAZ           ,34220,1,2022,0.0353,325.2043,1.0823,0.0196,200.6701,2.3168,-124.5342,-38.2941,1.3373,0.0212,212.7669,4.2648,-112.4374,-34.5744,2.0922,0.0258,249.9589,33.1679,-75.2454,-23.1379,2.496062992,5.418187056,0.042929921,0.297929921,1.052829921
4003,cochiseAZ           ,34221,1,2022,0.0355,327.1156,1.0397,0.0194,199.1203,2.1688,-127.9953,-39.1285,1.2818,0.0209,210.9861,4.6118,-116.1295,-35.5011,2.0614,0.0258,249.3297,34.0665,-77.7859,-23.7793,2.527559055,5.480026887,0.043637008,0.285737008,1.065337008
4003,cochiseAZ           ,34222,1,2022,0.0355,327.0857,0.9984,0.0193,198.2411,2.1994,-128.8446,-39.3917,1.2484,0.0209,210.7137,5.4824,-116.372,-35.5784,2.0246,0.0257,248.7505,34.2972,-78.3353,-23.9495,2.535433071,5.503072787,0.045644094,0.295644094,1.071844094
4003,cochiseAZ           ,34223,1,2022,0.0349,322.3421,0.978,0.0192,197.0068,2.26,-125.3353,-38.8827,1.2287,0.0207,209.2518,5.3932,-113.0902,-35.0839,2.0115,0.0256,248.1333,35.1162,-74.2088,-23.0217,2.578740157,5.503744959,0.044929134,0.295629134,1.078429134
4003,cochiseAZ           ,34224,1,2022,0.0352,324.8096,0.9629,0.019,195.5656,2.009,-129.244,-39.7907,1.2247,0.0206,208.6381,5.2553,-116.1714,-35.766,2.0121,0.0256,247.8023,35.5278,-77.0073,-23.7084,2.633858268,5.480699059,0.041640157,0.303440157,1.090840157
4003,cochiseAZ           ,34225,1,2022,0.0353,325.5583,0.957,0.0187,193.5762,1.69,-131.9822,-40.5402,1.2113,0.0204,206.4056,5.7579,-119.1527,-36.5995,2.0187,0.0254,246.4042,35.7663,-79.1541,-24.3133,2.712598425,5.528615326,0.039677165,0.293977165,1.101377165
4003,cochiseAZ           ,34226,1,2022,0.0349,321.764,0.939,0.0191,196.1983,1.5685,-125.5657,-39.0242,1.1923,0.0206,208.7519,5.2451,-113.0121,-35.1227,2.0069,0.0257,249.2814,36.6184,-72.4825,-22.5266,2.803149606,5.461206069,0.037425197,0.290725197,1.105325197
4003,cochiseAZ           ,34675,1,2022,0.0361,331.9656,1.3166,0.0214,214.6736,2.276,-117.292,-35.3326,1.5564,0.0229,226.8514,4.0867,-105.1142,-31.6642,2.2946,0.0273,261.9747,31.1826,-69.9909,-21.0838,2.460629921,5.527847129,0.033135433,0.272935433,1.011135433
4003,cochiseAZ           ,34676,1,2022,0.0356,327.8069,1.248,0.0213,213.722,2.2635,-114.0849,-34.8025,1.48,0.0228,225.5205,5.0277,-102.2864,-31.2032,2.2165,0.0271,260.3422,33.8049,-67.4647,-20.5806,2.468503937,5.360476282,0.031464567,0.263464567,0.999964567
4003,cochiseAZ           ,34677,1,2022,0.0351,323.9873,1.2326,0.0208,210.0759,2.1885,-113.9114,-35.1592,1.456,0.0222,221.1538,4.9263,-102.8334,-31.74,2.2123,0.0267,257.2443,33.7966,-66.743,-20.6005,2.496062992,5.308142885,0.031812598,0.255212598,1.011512598
4003,cochiseAZ           ,34678,1,2022,0.0352,324.428,1.1529,0.0203,205.6247,2.2529,-118.8033,-36.6193,1.3763,0.0217,216.9233,4.4919,-107.5047,-33.1367,2.1421,0.0263,253.4085,33.204,-71.0195,-21.8907,2.472440945,5.314288458,0.034789764,0.258189764,1.023989764
4003,cochiseAZ           ,34679,1,2022,0.035,322.9472,1.0823,0.0198,202.0613,2.2892,-120.8858,-37.4321,1.292,0.0211,212.3532,3.8388,-110.594,-34.2452,2.0807,0.0259,250.795,33.3877,-72.1521,-22.3418,2.44488189,5.360284233,0.038992913,0.248692913,1.037392913
4003,cochiseAZ           ,34680,1,2022,0.0355,326.4789,1.083,0.0196,200.5546,2.1037,-125.9243,-38.5704,1.3012,0.0209,210.9671,4.024,-115.5118,-35.3811,2.0879,0.0257,249.2883,33.7335,-77.1906,-23.6434,2.492125984,5.420971769,0.039692913,0.257892913,1.044592913
4003,cochiseAZ           ,34681,1,2022,0.0358,328.8706,1.0276,0.0193,198.2532,2.2004,-130.6174,-39.717,1.2513,0.0207,209.1656,4.2644,-119.7049,-36.3988,2.0489,0.0256,248.023,34.0888,-80.8476,-24.5834,2.484251969,5.468503937,0.043348031,0.267048031,1.064648031
4003,cochiseAZ           ,34682,1,2022,0.0362,332.3977,1.0348,0.0188,193.8468,2.1656,-138.5509,-41.6823,1.2582,0.0202,204.8041,5.6095,-127.5936,-38.3858,2.0627,0.0252,244.7527,34.9902,-87.645,-26.3675,2.570866142,5.582293067,0.046611024,0.270011024,1.074511024
4003,cochiseAZ           ,34683,1,2022,0.0363,332.8649,1.0266,0.0188,194.0571,2.0289,-138.8078,-41.7009,1.2612,0.0203,205.623,5.4945,-127.2419,-38.2263,2.063,0.0253,245.5112,35.037,-87.3537,-26.243,2.618110236,5.620414826,0.046285039,0.280885039,1.082685039
