Fips,CountyState,gridID,Indx,Year,meanNDVIgrid,meanANPPgrid,PPTgs_below,NDVI_predict_below,NPP_predict_below,NPP_stdev_below,deltaNPP_below,pct_diffNPP_below,PPTgs_avg,NDVI_predict_avg,NPP_predict_avg,NPP_stdev_avg,deltaNPP_avg,pct_diffNPP_avg,PPTgs_above,NDVI_predict_above,NPP_predict_above,NPP_stdev_above,deltaNPP_above,pct_diffNPP_above,pptWatYrReceived,pptAvgWatYrReceived,pptGSremainder_below,pptGSremainder_avg,pptGSremainder_above
4001,apacheAZ            ,45748,1,2022,0.0555,485.9852,5.6739,0.0504,445.551,41.3368,-40.4342,-8.32,7.7995,0.0596,518.3283,19.8287,32.3432,6.6552,9.8415,0.0614,532.6907,28.7114,46.7055,9.6105,1.854330709,1.203505812,3.819569291,5.945169291,7.987169291
4001,apacheAZ            ,45749,1,2022,0.0615,533.3392,6.1207,0.0535,469.7101,44.6369,-63.6291,-11.9303,8.4147,0.062,537.7751,17.0626,4.4359,0.8317,10.1975,0.0627,542.6918,24.6551,9.3526,1.7536,1.937007874,1.359580052,4.183692126,6.477692126,8.260492126
4001,apacheAZ            ,45750,1,2022,0.064,553.7768,6.3655,0.0545,477.5417,41.7578,-76.2351,-13.7664,8.7657,0.0625,541.6189,19.4829,-12.1579,-2.1955,10.5187,0.0636,550.1645,18.175,-3.6123,-0.6523,2.05511811,1.47928384,4.31038189,6.71058189,8.46358189
4001,apacheAZ            ,45751,1,2022,0.064,553.5052,6.6076,0.0549,480.8339,40.7797,-72.6712,-13.1293,8.8376,0.0631,546.0351,19.5204,-7.4701,-1.3496,10.8583,0.0637,550.6689,19.246,-2.8363,-0.5124,2.271653543,1.533089614,4.335946457,6.565946457,8.586646457
4001,apacheAZ            ,46209,1,2022,0.0573,500.296,5.6522,0.0516,454.7294,40.2888,-45.5666,-9.1079,7.9072,0.0596,518.2353,25.9339,17.9393,3.5857,9.9117,0.0623,539.7913,25.2194,39.4953,7.8944,1.854330709,1.243532058,3.797869291,6.052869291,8.057369291
4001,apacheAZ            ,46210,1,2022,0.0638,551.7859,6.3455,0.0552,483.2078,48.2464,-68.5781,-12.4284,8.6047,0.0622,538.8179,21.3935,-12.968,-2.3502,10.2493,0.0634,548.8282,20.0413,-2.9577,-0.536,1.933070866,1.43447694,4.412429134,6.671629134,8.316229134
4001,apacheAZ            ,46211,1,2022,0.066,569.482,6.5299,0.0571,498.1558,43.7821,-71.3262,-12.5248,9.0066,0.0642,554.7602,22.2279,-14.7218,-2.5851,10.7572,0.0648,559.8512,17.5822,-9.6308,-1.6912,2.035433071,1.574053243,4.494466929,6.971166929,8.721766929
4001,apacheAZ            ,46212,1,2022,0.067,576.9285,6.6552,0.0573,500.4445,44.9401,-76.484,-13.2571,9.0561,0.0645,557.442,20.4836,-19.4865,-3.3776,10.98,0.0648,560.1067,19.605,-16.8218,-2.9158,2.161417323,1.643794526,4.493782677,6.894682677,8.818582677
4001,apacheAZ            ,46213,1,2022,0.0662,570.6637,6.9124,0.058,505.504,44.5368,-65.1597,-11.4182,9.0771,0.065,561.5032,22.9065,-9.1605,-1.6052,11.4301,0.0644,556.7607,20.848,-13.903,-2.4363,2.37007874,1.693194601,4.54232126,6.70702126,9.06002126
4001,apacheAZ            ,46670,1,2022,0.0601,522.5271,5.9055,0.0534,469.0472,37.6486,-53.4799,-10.2349,7.982,0.0611,530.0758,26.1107,7.5487,1.4446,10.1447,0.0633,548.1077,22.3195,25.5805,4.8955,1.874015748,1.320491189,4.031484252,6.107984252,8.270684252
4001,apacheAZ            ,46671,1,2022,0.0654,564.3469,6.5108,0.057,497.8584,47.0017,-66.4885,-11.7815,8.7713,0.0636,550.5889,23.8638,-13.758,-2.4379,10.4695,0.0644,556.7018,17.7614,-7.6452,-1.3547,1.940944882,1.51143607,4.569855118,6.830355118,8.528555118
4001,apacheAZ            ,46672,1,2022,0.0667,574.4909,6.5896,0.0581,506.1774,42.4694,-68.3135,-11.8911,9.1302,0.0646,558.4704,20.818,-16.0205,-2.7886,10.9544,0.065,560.9988,17.737,-13.492,-2.3485,1.980314961,1.600393701,4.609285039,7.149885039,8.974085039
4001,apacheAZ            ,46673,1,2022,0.068,585.0378,6.7169,0.0582,507.0722,38.7022,-77.9657,-13.3266,9.3179,0.0648,560.0176,18.7764,-25.0203,-4.2767,11.4606,0.0644,556.3258,18.8861,-28.7121,-4.9077,2.086614173,1.710629921,4.630285827,7.231285827,9.373985827
4001,apacheAZ            ,46674,1,2022,0.0678,583.2295,6.8054,0.0583,508.1438,42.6462,-75.0857,-12.8741,9.2438,0.0645,557.3516,21.2192,-25.8779,-4.437,11.4383,0.0642,554.9201,20.0728,-28.3094,-4.8539,2.200787402,1.713254593,4.604612598,7.043012598,9.237512598
4001,apacheAZ            ,46675,1,2022,0.0665,573.6402,6.9629,0.0584,509.0229,40.9423,-64.6173,-11.2644,9.1627,0.0653,564.0762,21.4428,-9.564,-1.6672,11.4278,0.0646,558.3538,22.3018,-15.2864,-2.6648,2.433070866,1.656730409,4.529829134,6.729629134,8.994729134
4001,apacheAZ            ,46676,1,2022,0.0654,564.6858,7.101,0.0576,502.8589,39.7889,-61.8269,-10.9489,9.3051,0.0647,559.3573,23.8883,-5.3285,-0.9436,11.3271,0.0662,570.7641,18.2266,6.0783,1.0764,2.720472441,1.609298838,4.380527559,6.584627559,8.606627559
