"Fips","CountyState","gridID","Indx","Year","meanNDVIgrid","meanANPPgrid","PPTgs_below","NDVI_predict_below","NPP_predict_below","NPP_stdev_below","deltaNPP_below","pct_diffNPP_below","PPTgs_avg","NDVI_predict_avg","NPP_predict_avg","NPP_stdev_avg","deltaNPP_avg","pct_diffNPP_avg","PPTgs_above","NDVI_predict_above","NPP_predict_above","NPP_stdev_above","deltaNPP_above","pct_diffNPP_above","pptWatYrReceived","pptAvgWatYrReceived","pptGSremainder_below","pptGSremainder_avg","pptGSremainder_above"
4001,"apacheAZ            ",45748,1,2022,0.0555,485.9852,5.8914,0.0523,460.5396,27.3497,-25.4456,-5.2359,7.3586,0.0576,502.4672,20.8159,16.4821,3.3915,8.9846,0.0588,511.9352,22.4307,25.95,5.3397,3.1259842519685,2.8753280839895,2.7654157480315,4.2326157480315,5.8586157480315
4001,"apacheAZ            ",45749,1,2022,0.0615,533.3392,6.1929,0.055,482.0117,28.9476,-51.3275,-9.6238,7.7799,0.0597,519.5834,20.947,-13.7558,-2.5792,9.4544,0.0607,527.1805,19.4108,-6.1587,-1.1547,3.23622047244094,3.15157480314961,2.95667952755906,4.54367952755906,6.21817952755906
4001,"apacheAZ            ",45750,1,2022,0.064,553.7768,6.2349,0.0548,480.4711,26.699,-73.3057,-13.2374,8.0269,0.0603,524.3638,18.0804,-29.413,-5.3113,9.6732,0.06,521.7712,19.5088,-32.0056,-5.7795,3.2755905511811,3.33473940757405,2.9593094488189,4.7513094488189,6.3976094488189
4001,"apacheAZ            ",45751,1,2022,0.064,553.5052,6.5194,0.055,481.4562,22.419,-72.0489,-13.0169,8.2628,0.0614,532.8413,16.2521,-20.6638,-3.7333,10.0994,0.0608,528.0491,16.2047,-25.4561,-4.5991,3.56692913385827,3.36651668541432,2.95247086614173,4.69587086614173,6.53247086614173
4001,"apacheAZ            ",46209,1,2022,0.0573,500.296,6.4236,0.0553,483.9061,24.9461,-16.3899,-3.276,7.6909,0.0603,524.0651,16.9684,23.7691,4.751,9.6942,0.0623,539.9485,23.7263,39.6525,7.9258,3.52362204724409,2.86032995875515,2.89997795275591,4.16727795275591,6.17057795275591
4001,"apacheAZ            ",46210,1,2022,0.0638,551.7859,6.6263,0.0577,503.4118,28.3309,-48.3741,-8.7668,8.3963,0.0623,540.2014,19.1621,-11.5846,-2.0995,9.8763,0.0634,548.6841,20.0109,-3.1018,-0.5621,3.55905511811024,3.24568803899513,3.06724488188976,4.83724488188976,6.31724488188976
4001,"apacheAZ            ",46211,1,2022,0.066,569.482,6.5833,0.0584,508.6141,27.6881,-60.8679,-10.6883,8.5702,0.0633,547.5601,18.8417,-21.9219,-3.8495,10.0892,0.0634,548.6802,17.2201,-20.8018,-3.6528,3.51968503937008,3.48856392950881,3.06361496062992,5.05051496062992,6.56951496062992
4001,"apacheAZ            ",46212,1,2022,0.067,576.9285,6.5889,0.0576,502.3231,23.7965,-74.6053,-12.9315,8.5942,0.064,553.6113,16.5415,-23.3172,-4.0416,10.2297,0.0625,541.5232,15.3444,-35.4052,-6.1369,3.58267716535433,3.56505436820398,3.00622283464567,5.01152283464567,6.64702283464567
4001,"apacheAZ            ",46213,1,2022,0.0662,570.6637,6.8862,0.0583,507.9368,22.0549,-62.7269,-10.9919,8.7812,0.065,561.2831,15.7321,-9.3806,-1.6438,10.6594,0.0629,544.3255,14.1327,-26.3382,-4.6154,3.8503937007874,3.60826771653543,3.0358062992126,4.9308062992126,6.8090062992126
4001,"apacheAZ            ",46670,1,2022,0.0601,522.5271,6.7989,0.0582,507.1953,25.6373,-15.3318,-2.9342,8.0928,0.0633,548.1509,17.0763,25.6238,4.9038,10.2293,0.0649,560.4001,21.2399,37.873,7.248,3.7992125984252,2.96925384326959,2.9996874015748,4.2935874015748,6.4300874015748
4001,"apacheAZ            ",46671,1,2022,0.0654,564.3469,7.0856,0.0607,527.2133,27.2105,-37.1337,-6.5799,8.855,0.0653,563.7644,16.7008,-0.5825,-0.1032,10.4291,0.0666,574.3432,18.3431,9.9963,1.7713,3.8740157480315,3.35142482189726,3.2115842519685,4.9809842519685,6.5550842519685
4001,"apacheAZ            ",46672,1,2022,0.0667,574.4909,6.8973,0.0607,527.5473,26.1113,-46.9435,-8.1713,8.9862,0.0655,565.1531,19.7252,-9.3378,-1.6254,10.5354,0.0657,566.5928,15.0349,-7.898,-1.3748,3.73228346456693,3.54190101237345,3.16501653543307,5.25391653543307,6.80311653543307
4001,"apacheAZ            ",46673,1,2022,0.068,585.0378,6.9072,0.0603,523.9865,24.7489,-61.0513,-10.4354,9.041,0.0658,567.7811,19.7124,-17.2568,-2.9497,10.9327,0.0645,557.0188,12.5396,-28.019,-4.7893,3.79133858267717,3.71747281589801,3.11586141732283,5.24966141732283,7.14136141732283
4001,"apacheAZ            ",46674,1,2022,0.0678,583.2295,6.9849,0.0599,520.7664,22.9968,-62.4631,-10.7099,9.0184,0.0657,566.8732,20.5329,-16.3563,-2.8044,10.8048,0.0641,554.0305,12.5103,-29.199,-5.0064,3.87795275590551,3.69600674915635,3.10694724409449,5.14044724409449,6.92684724409449
4001,"apacheAZ            ",46675,1,2022,0.0665,573.6402,7.146,0.0599,520.7677,21.4741,-52.8725,-9.217,8.9646,0.0656,565.943,20.7858,-7.6971,-1.3418,10.6752,0.0648,559.859,12.5073,-13.7811,-2.4024,4.03937007874016,3.57339707536558,3.10662992125984,4.92522992125984,6.63582992125984
4001,"apacheAZ            ",46676,1,2022,0.0654,564.6858,7.4977,0.0599,520.7258,23.6475,-43.96,-7.7849,9.0266,0.0653,564.1247,20.4777,-0.5611,-0.0994,10.6877,0.0658,567.9016,12.4359,3.2158,0.5695,4.38976377952756,3.48312710911136,3.10793622047244,4.63683622047244,6.29793622047244
4001,"apacheAZ            ",46677,1,2022,0.063,545.1486,7.5174,0.0587,511.6116,20.2529,-33.5371,-6.1519,8.8287,0.0648,559.9259,17.0294,14.7772,2.7107,10.501,0.066,569.2588,12.6465,24.1102,4.4227,4.48818897637795,3.33314585676791,3.02921102362205,4.34051102362205,6.01281102362205
4001,"apacheAZ            ",47132,1,2022,0.0652,562.6552,7.414,0.0639,552.7034,23.0549,-9.9518,-1.7687,9.2635,0.069,593.1559,15.7242,30.5008,5.4209,10.896,0.0694,596.6879,15.817,34.0327,6.0486,4.17716535433071,3.35076865391826,3.23683464566929,5.08633464566929,6.71883464566929
4001,"apacheAZ            ",47133,1,2022,0.0671,578.3857,7.3114,0.0633,548.0094,25.7605,-30.3763,-5.2519,9.3127,0.0687,590.4559,14.0996,12.0702,2.0869,11.1778,0.0673,579.6844,15.0275,1.2987,0.2245,3.97637795275591,3.64163854518185,3.33502204724409,5.33632204724409,7.20142204724409
4001,"apacheAZ            ",47134,1,2022,0.0676,581.6688,7.1778,0.0621,538.1458,27.1646,-43.5229,-7.4824,9.2441,0.0668,575.6887,21.1366,-5.9801,-1.0281,11.5719,0.0659,568.6641,10.1168,-13.0047,-2.2358,3.94881889763779,3.73284589426322,3.22898110236221,5.29528110236221,7.62308110236221
4001,"apacheAZ            ",47135,1,2022,0.0674,580.4045,7.0912,0.0607,527.2892,22.9584,-53.1153,-9.1514,8.9744,0.0651,562.2119,20.3219,-18.1926,-3.1345,11.1762,0.0646,558.2896,18.6102,-22.115,-3.8103,3.92125984251969,3.69253843269591,3.16994015748031,5.05314015748031,7.25494015748031
4001,"apacheAZ            ",47136,1,2022,0.067,576.9058,7.101,0.0593,516.2951,21.2698,-60.6107,-10.5062,8.8271,0.0651,562.2735,21.0438,-14.6322,-2.5363,10.7133,0.0642,554.6371,8.7571,-22.2687,-3.86,3.96850393700787,3.51799775028122,3.13249606299213,4.85859606299213,6.74479606299213
4001,"apacheAZ            ",47137,1,2022,0.0648,559.8739,6.9265,0.058,505.5001,17.7366,-54.3738,-9.7118,8.4544,0.0645,556.9913,16.8818,-2.8826,-0.5149,10.2392,0.0639,552.22,8.7988,-7.6539,-1.3671,3.85433070866142,3.3714848143982,3.07216929133858,4.60006929133858,6.38486929133858
4001,"apacheAZ            ",47138,1,2022,0.0619,536.9567,7.4124,0.0593,515.6676,17.646,-21.2892,-3.9648,8.6969,0.0646,558.1874,21.8406,21.2307,3.9539,10.353,0.066,569.4986,11.7972,32.5419,6.0604,4.4251968503937,3.19525684289464,2.9872031496063,4.2717031496063,5.9278031496063
4001,"apacheAZ            ",47593,1,2022,0.0667,575.152,7.8428,0.0685,588.8746,22.006,13.7226,2.3859,9.8789,0.0725,620.9178,14.6782,45.7658,7.9572,11.5285,0.0731,625.3668,13.1383,50.2148,8.7307,4.49606299212598,3.45669291338583,3.34673700787402,5.38283700787402,7.03243700787402
