Fips,CountyState,gridID,Indx,Year,meanNDVIgrid,meanANPPgrid,PPTgs_below,NDVI_predict_below,NPP_predict_below,NPP_stdev_below,deltaNPP_below,pct_diffNPP_below,PPTgs_avg,NDVI_predict_avg,NPP_predict_avg,NPP_stdev_avg,deltaNPP_avg,pct_diffNPP_avg,PPTgs_above,NDVI_predict_above,NPP_predict_above,NPP_stdev_above,deltaNPP_above,pct_diffNPP_above,pptWatYrReceived,pptAvgWatYrReceived,pptGSremainder_below,pptGSremainder_avg,pptGSremainder_above
4001,apacheAZ            ,45748,1,2022,0.0555,485.9852,5.6089,0.0501,443.1103,43.5596,-42.8749,-8.8223,7.9081,0.0599,520.8725,28.3279,34.8873,7.1787,11.0453,0.067,576.9516,20.6935,90.9664,18.7179,1.433070866,0.356486689,4.175829134,6.475029134,9.612229134
4001,apacheAZ            ,45749,1,2022,0.0615,533.3392,6.0374,0.0532,467.5288,47.0926,-65.8104,-12.3393,8.6398,0.0623,540.0808,27.9133,6.7417,1.264,11.4449,0.0687,590.9838,12.9446,57.6447,10.8083,1.480314961,0.429790026,4.557085039,7.159485039,9.964585039
4001,apacheAZ            ,45750,1,2022,0.064,553.7768,6.3842,0.0548,480.6427,51.2772,-73.1341,-13.2064,8.9754,0.0631,546.5251,29.1305,-7.2517,-1.3095,11.8619,0.0694,596.2399,16.4074,42.4631,7.6679,1.590551181,0.487345332,4.793648819,7.384848819,10.27134882
4001,apacheAZ            ,45751,1,2022,0.064,553.5052,6.6394,0.0549,481.0174,49.338,-72.4878,-13.0961,9.0427,0.0642,554.9305,30.2014,1.4254,0.2575,12.0594,0.0686,590.0982,21.2383,36.593,6.6111,1.732283465,0.5119985,4.907116535,7.310416535,10.32711654
4001,apacheAZ            ,46209,1,2022,0.0573,500.296,5.4626,0.0506,446.8349,40.0987,-53.4612,-10.6859,8.2402,0.0613,532.3121,32.2515,32.0161,6.3994,10.959,0.0663,572.0794,29.1852,71.7834,14.3482,1.38976378,0.375421822,4.07283622,6.85043622,9.56923622
4001,apacheAZ            ,46210,1,2022,0.0638,551.7859,6.2254,0.0542,475.6067,44.6569,-76.1792,-13.8059,8.9068,0.0639,552.8239,30.7209,1.038,0.1881,11.5433,0.0688,591.9088,15.2967,40.1228,7.2714,1.460629921,0.461473566,4.764770079,7.446170079,10.08267008
4001,apacheAZ            ,46211,1,2022,0.066,569.482,6.5531,0.0569,497.2426,47.8006,-72.2393,-12.6851,9.3891,0.065,561.2897,26.913,-8.1923,-1.4386,12.0574,0.0707,606.4742,17.4625,36.9922,6.4958,1.562992126,0.534589426,4.990107874,7.826107874,10.49440787
4001,apacheAZ            ,46212,1,2022,0.067,576.9285,6.6654,0.0569,497.2833,48.3852,-79.6452,-13.805,9.3274,0.0655,565.2566,28.7861,-11.6719,-2.0231,12.3035,0.0701,602.1811,21.3268,25.2526,4.3771,1.62992126,0.582208474,5.03547874,7.69747874,10.67357874
4001,apacheAZ            ,46213,1,2022,0.0662,570.6637,6.8419,0.0572,499.1147,46.7156,-71.5489,-12.5378,9.3937,0.0663,571.52,29.1325,0.8564,0.1501,12.6775,0.0687,591.124,28.6206,20.4603,3.5854,1.763779528,0.598518935,5.078120472,7.629920472,10.91372047
4001,apacheAZ            ,46670,1,2022,0.0601,522.5271,5.6686,0.0527,463.3353,38.9905,-59.1919,-11.328,8.5305,0.0626,541.8796,31.8758,19.3524,3.7036,11.1775,0.0681,585.8248,19.0822,63.2976,12.1138,1.413385827,0.400731159,4.255214173,7.117114173,9.764114173
4001,apacheAZ            ,46671,1,2022,0.0654,564.3469,6.3579,0.0562,491.2779,46.2573,-73.0691,-12.9475,9.2008,0.0653,563.408,32.7011,-0.9389,-0.1664,11.7881,0.0696,597.5709,16.4213,33.224,5.8872,1.456692913,0.485658043,4.901207087,7.744107087,10.33140709
4001,apacheAZ            ,46672,1,2022,0.0667,574.4909,6.5817,0.0576,502.8131,44.7943,-71.6778,-12.4767,9.4747,0.0657,567.1234,28.9099,-7.3674,-1.2824,12.3793,0.0703,603.2252,18.3158,28.7343,5.0017,1.496062992,0.530277465,5.085637008,7.978637008,10.88323701
4001,apacheAZ            ,46673,1,2022,0.068,585.0378,6.7989,0.058,506.0922,43.3308,-78.9456,-13.4941,9.6781,0.0658,567.7182,31.0285,-17.3196,-2.9604,12.8967,0.0691,594.2106,24.0145,9.1727,1.5679,1.582677165,0.596175478,5.216222835,8.095422835,11.31402283
