Fips,CountyState,gridID,Indx,Year,meanNDVIgrid,meanANPPgrid,PPTgs_below,NDVI_predict_below,NPP_predict_below,NPP_stdev_below,deltaNPP_below,pct_diffNPP_below,PPTgs_avg,NDVI_predict_avg,NPP_predict_avg,NPP_stdev_avg,deltaNPP_avg,pct_diffNPP_avg,PPTgs_above,NDVI_predict_above,NPP_predict_above,NPP_stdev_above,deltaNPP_above,pct_diffNPP_above,pptWatYrReceived,pptAvgWatYrReceived,pptGSremainder_below,pptGSremainder_avg,pptGSremainder_above
4003,cochiseAZ           ,34220,1,2022,0.0353,325.2043,0.6339,0.0169,179.2917,0.0107,-145.9126,-44.868,0.6339,0.0169,179.2917,0.0107,-145.9126,-44.868,0.6339,0.0169,179.2917,0.0107,-145.9126,-44.868,2.090551181,5.917034761,0.00,0.00,0.00
4003,cochiseAZ           ,34221,1,2022,0.0355,327.1156,0.4134,0.0159,170.9169,0.0094,-156.1987,-47.7503,0.4134,0.0159,170.9169,0.0094,-156.1987,-47.7503,0.4134,0.0159,170.9169,0.0094,-156.1987,-47.7503,1.94488189,5.981371231,0.00,0.00,0.00
4003,cochiseAZ           ,34222,1,2022,0.0355,327.0857,0.2559,0.015,163.4936,0.006,-163.5921,-50.015,0.2559,0.015,163.4936,0.006,-163.5921,-50.015,0.2559,0.015,163.4936,0.006,-163.5921,-50.015,1.838582677,6.014211638,0.00,0.00,0.00
4003,cochiseAZ           ,34223,1,2022,0.0349,322.3421,0.311,0.0153,166.3105,0.006,-156.0315,-48.4056,0.311,0.0153,166.3105,0.006,-156.0315,-48.4056,0.311,0.0153,166.3105,0.006,-156.0315,-48.4056,1.956692913,6.016996351,0.00,0.00,0.00
4003,cochiseAZ           ,34224,1,2022,0.0352,324.8096,0.3504,0.0157,169.4722,0.006,-155.3373,-47.8241,0.3504,0.0157,169.4722,0.006,-155.3373,-47.8241,0.3504,0.0157,169.4722,0.006,-155.3373,-47.8241,2.062992126,5.997983484,0.00,0.00,0.00
4003,cochiseAZ           ,34225,1,2022,0.0353,325.5583,0.4528,0.0162,173.4028,0.006,-152.1556,-46.7368,0.4528,0.0162,173.4028,0.006,-152.1556,-46.7368,0.4528,0.0162,173.4028,0.006,-152.1556,-46.7368,2.248031496,6.044075283,0.00,0.00,0.00
4003,cochiseAZ           ,34226,1,2022,0.0349,321.764,0.5,0.0169,179.0314,0,-142.7326,-44.3594,0.5,0.0169,179.0314,0,-142.7326,-44.3594,0.5,0.0169,179.0314,0,-142.7326,-44.3594,2.401574803,5.974361437,0.00,0.00,0.00
4003,cochiseAZ           ,34675,1,2022,0.0361,331.9656,1.3937,0.0215,215.8545,0,-116.1111,-34.9768,1.3937,0.0215,215.8545,0,-116.1111,-34.9768,1.3937,0.0215,215.8545,0,-116.1111,-34.9768,2.570866142,6.002880737,0.00,0.00,0.00
4003,cochiseAZ           ,34676,1,2022,0.0356,327.8069,1.189,0.0208,210.2845,0.0094,-117.5224,-35.8511,1.189,0.0208,210.2845,0.0094,-117.5224,-35.8511,1.189,0.0208,210.2845,0.0094,-117.5224,-35.8511,2.440944882,5.827635875,0.00,0.00,0.00
4003,cochiseAZ           ,34677,1,2022,0.0351,323.9873,1.0984,0.0199,202.5665,0.0102,-121.4208,-37.477,1.0984,0.0199,202.5665,0.0102,-121.4208,-37.477,1.0984,0.0199,202.5665,0.0102,-121.4208,-37.477,2.393700787,5.77347801,0.00,0.00,0.00
4003,cochiseAZ           ,34678,1,2022,0.0352,324.428,0.937,0.0185,191.9195,0,-132.5085,-40.8437,0.937,0.0185,191.9195,0,-132.5085,-40.8437,0.937,0.0185,191.9195,0,-132.5085,-40.8437,2.291338583,5.785193009,0.00,0.00,0.00
4003,cochiseAZ           ,34679,1,2022,0.035,322.9472,1.0118,0.0191,196.6982,0,-126.2489,-39.0928,1.0118,0.0191,196.6982,0,-126.2489,-39.0928,1.0118,0.0191,196.6982,0,-126.2489,-39.0928,2.413385827,5.828212022,0.00,0.00,0.00
4003,cochiseAZ           ,34680,1,2022,0.0355,326.4789,0.9528,0.0191,196.181,0,-130.2979,-39.91,0.9528,0.0191,196.181,0,-130.2979,-39.91,0.9528,0.0191,196.181,0,-130.2979,-39.91,2.401574803,5.894661033,0.00,0.00,0.00
4003,cochiseAZ           ,34681,1,2022,0.0358,328.8706,0.752,0.0177,185.6323,0.006,-143.2383,-43.5546,0.752,0.0177,185.6323,0.006,-143.2383,-43.5546,0.752,0.0177,185.6323,0.006,-143.2383,-43.5546,2.251968504,5.955348569,0.00,0.00,0.00
4003,cochiseAZ           ,34682,1,2022,0.0362,332.3977,0.6811,0.0167,177.7264,0.006,-154.6713,-46.532,0.6811,0.0167,177.7264,0.006,-154.6713,-46.532,0.6811,0.0167,177.7264,0.006,-154.6713,-46.532,2.263779528,6.083541387,0.00,0.00,0.00
4003,cochiseAZ           ,34683,1,2022,0.0363,332.8649,0.6181,0.0166,176.2386,0,-156.6263,-47.054,0.6181,0.0166,176.2386,0,-156.6263,-47.054,0.6181,0.0166,176.2386,0,-156.6263,-47.054,2.255905512,6.130593432,0.00,0.00,0.00
