predicted_season,precip_category,year,JFM,MAM,JJA,year2,OND,low_mean_percent_anom,low_med_percent_anom,low_stdev_percent_anom,med_mean_percent_anom,med_med_percent_anom,med_stdev_percent_anom,high_mean_percent_anom,high_med_percent_anom,high_stdev_percent_anom
pred_spr_anpp,low,1950,-1.3,-1.2,-0.5,,,-3.095089165,-5.986405815,24.5036011,-5.134087511,-5.663602189,17.75484338,-7.753416037,-6.560168199,10.45933857
pred_spr_anpp,low,1951,-0.5,0.2,0.7,1950,-0.6,-12.24083539,-8.813765664,19.06311631,-8.451430841,-4.373088792,16.02486396,-10.04894756,-9.225076958,12.45389021
pred_spr_anpp,low,1952,0.4,0.3,-0.1,1951,1,52.1429091,54.27387444,38.91096795,21.93106588,8.102961894,31.93737637,0.349020171,-3.294626963,22.06761417
pred_spr_anpp,low,1953,0.6,0.7,0.7,1952,0,-32.5544763,-36.1137637,27.20971105,-14.1855643,-7.271539329,19.29931917,-13.06634123,-10.84030336,13.13431331
pred_spr_anpp,low,1954,0.5,-0.4,-0.6,1953,0.8,10.48676225,4.491443203,31.64199856,-5.240863804,-1.818116841,17.76145739,-13.45379158,-12.72811448,13.7352987
pred_spr_anpp,low,1955,-0.6,-0.8,-0.7,1954,-0.7,-35.93132587,-41.67357587,25.24640786,-19.37474193,-7.463380499,25.75175985,-18.18807446,-16.07276283,17.08701749
pred_spr_anpp,low,1956,-0.8,-0.5,-0.6,1955,-1.7,-68.010903,-73.49433338,44.47378135,-29.9834838,-6.719045852,44.43642568,-29.41596042,-24.81867615,19.52714728
pred_spr_anpp,low,1957,0.1,0.7,1.3,1956,-0.4,-1.744084075,2.154155854,25.26431122,4.088897533,4.137781498,13.44277306,-0.980490963,-0.90889846,12.62854734
pred_spr_anpp,low,1958,1.7,0.9,0.6,1957,1.5,35.00652299,31.23506726,34.84230777,10.03342163,0.892568946,23.92997696,24.18042426,23.69028433,18.60862646
pred_spr_anpp,low,1959,0.6,0.3,-0.2,1958,0.5,-51.86564881,-59.09783689,30.79142205,-29.01182837,-8.212978235,37.84837135,-16.26972952,-9.870871732,30.71704953
pred_spr_anpp,low,1960,-0.1,0,0.1,1959,0,2.239357555,-0.59540945,20.20909035,3.763794414,-1.868660485,17.65866263,-4.97661776,-6.958893359,19.52069776
pred_spr_anpp,low,1961,0,0.1,0.1,1960,0.1,-57.26806075,-61.82208827,37.42908193,-29.02498484,-6.634897806,43.02880677,-5.750147702,-4.324173091,27.39425424
pred_spr_anpp,low,1962,-0.2,-0.3,0,1961,-0.2,-10.82124876,-7.071116924,23.96688046,-4.404117843,-3.362559982,14.43235591,-7.94740543,-9.094257043,16.74229809
pred_spr_anpp,low,1963,-0.2,0.3,0.9,1962,-0.3,-35.59216361,-34.46152317,30.85046827,-17.88231972,-7.158229673,31.68797048,-11.9510926,-11.49983449,12.61066132
pred_spr_anpp,low,1964,0.6,-0.3,-0.6,1963,1.4,-54.86960407,-61.64174885,36.7115689,-28.59337369,-6.076410644,41.41951611,-25.61659475,-21.05617947,20.82604273
pred_spr_anpp,low,1965,-0.3,0.2,1.2,1964,-0.8,56.7057267,49.10510309,44.27390383,19.59291514,4.992995507,36.65044572,-9.945069868,-9.496948754,15.38093583
pred_spr_anpp,low,1966,1.2,0.7,0.2,1965,2,30.29312594,22.8012508,37.42671663,20.07420052,-1.461335257,48.70511779,2.834941726,-6.55097395,35.60613676
pred_spr_anpp,low,1967,-0.5,-0.4,0,1966,-0.2,-46.16214611,-40.36128222,34.83169775,-29.14670523,-10.48191523,39.62378009,-33.01627546,-31.30433016,17.83757648
pred_spr_anpp,low,1968,-0.7,-0.4,0.6,1967,-0.3,5.090191266,-5.745695882,38.72301806,11.80524325,-1.139378387,34.33690705,15.33668499,7.846351452,28.6159594
pred_spr_anpp,low,1969,1.1,0.8,0.4,1968,0.7,6.848370655,4.689051327,22.44318959,-1.254364167,-0.105881022,13.81310974,-3.757979097,-3.442037977,19.06375158
pred_spr_anpp,low,1970,0.3,0.2,-0.6,1969,0.8,-17.47127815,-15.64148589,25.3072234,-7.011999219,-3.335873389,16.07798086,-9.883602433,-10.60797609,19.44307964
pred_spr_anpp,low,1971,-1.4,-0.8,-0.8,1970,-0.9,-56.06995121,-56.44753964,38.72041313,-34.28264319,-10.64207452,44.89737195,-34.51687589,-29.60938742,23.89590409
pred_spr_anpp,low,1972,-0.4,0.4,1.1,1971,-1,-77.95877104,-81.63743446,44.27019019,-39.08987455,-13.42371738,50.34832016,-24.65065084,-18.01068044,25.8943173
pred_spr_anpp,low,1973,1.2,-0.1,-1.1,1972,2.1,49.45895659,47.18887251,33.02684508,23.31575389,10.89296523,27.47958126,33.56804937,29.65681167,21.54547219
pred_spr_anpp,low,1974,-1.6,-1,-0.5,1973,-1.9,-33.24255957,-39.73477485,21.65788929,-22.36363638,-7.449194622,30.13006251,-29.55039732,-27.29196275,18.36945161
pred_spr_anpp,low,1975,-0.6,-0.7,-1.1,1974,-0.8,-22.36863048,-12.55212854,34.17204496,-10.86626267,-2.229833801,21.51392227,4.665037909,1.26543007,31.38626115
pred_spr_anpp,low,1976,-1.2,-0.5,0.2,1975,-1.6,5.922874412,2.224161541,29.89890125,-0.614904755,-1.07034561,19.16674852,-9.225854312,-6.939933495,13.35452006
pred_spr_anpp,low,1977,0.6,0.2,0.4,1976,0.9,-33.98688203,-38.14343021,26.93286138,-19.51892026,-8.141056323,31.79719237,-4.382537474,-3.154280814,19.52461643
pred_spr_anpp,low,1978,0.4,-0.2,-0.4,1977,0.8,97.64578927,93.77075765,63.02183894,40.5680353,9.989292555,58.42189032,15.0657549,3.62921538,36.39495152
pred_spr_anpp,low,1979,0.1,0.3,0,1978,-0.1,85.36808991,89.62069265,54.59234745,48.92097794,10.92532669,76.00326471,39.2078843,28.4866066,41.83072376
pred_spr_anpp,low,1980,0.5,0.4,0.3,1979,0.5,74.32713537,69.79446492,45.40749991,26.2892023,14.62363406,28.44504061,7.738791583,4.474650922,18.26897978
pred_spr_anpp,low,1981,-0.5,-0.4,-0.3,1980,0.1,-10.10565576,-7.459646974,17.24946289,-1.865101381,-0.700248036,12.51619405,2.710556778,-2.350638051,21.00319085
pred_spr_anpp,low,1982,0.1,0.5,0.8,1981,-0.2,21.4647457,22.0645337,21.23451177,15.66293203,10.60742714,16.48266886,-3.274677913,-3.768944212,15.19209838
pred_spr_anpp,low,1983,1.9,1.3,0.3,1982,2.2,57.2615459,53.82254469,43.86719219,35.06326195,9.107697584,55.36147556,24.03401978,12.01093396,40.24439173
pred_spr_anpp,low,1984,-0.4,-0.4,-0.3,1983,-1,-46.2905631,-43.93517923,40.58784604,-7.452245301,-2.660581202,22.96392931,5.672165849,-2.306392416,25.1296789
pred_spr_anpp,low,1985,-0.8,-0.8,-0.5,1984,-0.9,36.98504908,33.46699487,31.33822044,21.60778222,12.24254048,25.12145138,37.871847,31.80786052,22.98803354
pred_spr_anpp,low,1986,-0.5,-0.2,0.2,1985,-0.3,5.76262673,2.8701349,25.7621398,2.114528895,0.811748665,17.42786116,1.301044598,0.691124748,19.35262773
pred_spr_anpp,low,1987,1.2,0.9,1.5,1986,1.1,-11.8753271,-0.01300506,31.9474492,4.910343744,6.803322064,21.09405079,39.58531362,37.91223483,21.44960331
