ORDER,YEAR,BIOME,NDVI,ANPP,CLASS,ALL,SITE
1,2000,grass,0.14,25.25,JRN GRASS,YES,JORNADA
2,2000,grass,0.19,52.57,JRN GRASS,YES,JORNADA
3,2001,grass,0.16,42.07,JRN GRASS,YES,JORNADA
4,2001,grass,0.17,71.46,JRN GRASS,YES,JORNADA
5,2002,grass,0.13,18.03,JRN GRASS,YES,JORNADA
6,2002,grass,0.21,105.23,JRN GRASS,YES,JORNADA
7,2003,grass,0.16,64.07,JRN GRASS,YES,JORNADA
8,2003,grass,0.15,31.34,JRN GRASS,YES,JORNADA
9,2004,grass,0.15,25.8,JRN GRASS,YES,JORNADA
10,2004,grass,0.24,153.27,JRN GRASS,YES,JORNADA
11,2005,grass,0.21,95.67,JRN GRASS,YES,JORNADA
12,2005,grass,0.21,106.13,JRN GRASS,YES,JORNADA
13,2006,grass,0.15,11.63,JRN GRASS,YES,JORNADA
14,2006,grass,0.38,242.21,JRN GRASS,YES,JORNADA
15,2007,grass,0.24,133.72,JRN GRASS,YES,JORNADA
16,2007,grass,0.25,163.82,JRN GRASS,YES,JORNADA
17,2008,grass,0.15,15.48,JRN GRASS,YES,JORNADA
18,2008,grass,0.4,280.34,JRN GRASS,YES,JORNADA
19,2009,grass,0.16,65.85,JRN GRASS,YES,JORNADA
20,2009,grass,0.2,106.4,JRN GRASS,YES,JORNADA
21,2010,grass,0.18,42.37,JRN GRASS,YES,JORNADA
22,2010,grass,0.27,181.99,JRN GRASS,YES,JORNADA
23,2009,grassSR,0.22,184.67,SRER,YES,SANTA RITA
24,2009,grassSR,0.18,35.61,SRER,YES,SANTA RITA
25,2009,grassSR,0.2,67.03,SRER,YES,SANTA RITA
26,2011,grassSR,0.34,234.57,SRER,YES,SANTA RITA
27,2011,grassSR,0.25,43.99,SRER,YES,SANTA RITA
28,2011,grassSR,0.3,121.14,SRER,YES,SANTA RITA
29,2012,grassSR,0.33,208.42,SRER,YES,SANTA RITA
30,2012,grassSR,0.2,41.18,SRER,YES,SANTA RITA
