fips_gridID,fips,gridID,CountyST,latitude,longitude,year,Tjfma,Tapr-may,Tan,PPTjfmam,PPTamjja,PPTjja,PPTan,pptRatioSummerWinter
04001_045748,4001,45748,apacheAZ,33.59909833,-109.8405693,-9999,5.495957738,12.30704684,11.75577498,15.03771429,21.09014286,18.08828571,48.84442857,1.202861377
04001_045749,4001,45749,apacheAZ,33.61204069,-109.7331994,-9999,4.372700595,11.09651756,10.5883796,17.149,23.38685714,19.76571429,54.17285714,1.15258699
04001_045750,4001,45750,apacheAZ,33.62488271,-109.6257941,-9999,3.668041667,10.26226815,9.789802799,18.575,25.07628571,20.97157143,58.08771429,1.129021342
04001_045751,4001,45751,apacheAZ,33.63762435,-109.5183538,-9999,3.67066369,10.14461827,9.677194436,18.28485714,25.185,21.00685714,58.28585714,1.148866353
04001_046209,4001,46209,apacheAZ,33.68767044,-109.8563333,-9999,5.411138095,12.11970492,11.60185007,16.23142857,21.86671429,18.52457143,51.26157143,1.141277944
04001_046210,4001,46210,apacheAZ,33.70062587,-109.7488445,-9999,3.835479762,10.48365808,9.994175825,18.84757143,24.74771429,20.66342857,57.91228571,1.096344357
04001_046211,4001,46211,apacheAZ,33.71348088,-109.6413203,-9999,2.907605357,9.407702576,8.974551828,20.521,26.813,22.15542857,62.45985714,1.079646634
04001_046212,4001,46212,apacheAZ,33.72623542,-109.5337609,-9999,2.688302381,9.088288056,8.682940592,20.84057143,27.43942857,22.54228571,63.634,1.081653917
04001_046213,4001,46213,apacheAZ,33.73888944,-109.4261666,-9999,2.562669643,8.864025761,8.43854426,19.97228571,26.97971429,22.07671429,62.53571429,1.105367438
04001_046670,4001,46670,apacheAZ,33.77622979,-109.872133,-9999,4.851770238,11.50138173,11.00437859,17.91114286,23.15114286,19.37757143,54.957,1.081872418
04001_046671,4001,46671,apacheAZ,33.78919836,-109.7645251,-9999,3.210538095,9.80588993,9.328837154,20.60028571,26.02614286,21.515,61.72114286,1.04440299
04001_046672,4001,46672,apacheAZ,33.80206641,-109.6568816,-9999,2.479642262,8.988278689,8.540365159,21.77585714,27.48971429,22.593,64.93,1.037525175
04001_046673,4001,46673,apacheAZ,33.81483389,-109.5492029,-9999,1.763656548,8.148962529,7.707153388,22.69514286,28.985,23.57757143,67.95314286,1.038881825
04001_046674,4001,46674,apacheAZ,33.82750076,-109.4414891,-9999,1.877356548,8.204477752,7.756257486,21.515,28.33557143,23.02614286,66.07228571,1.070236712
04001_046675,4001,46675,apacheAZ,33.84006698,-109.3337406,-9999,2.242545238,8.515358314,8.051033864,18.92085714,26.62071429,21.79042857,61.05228571,1.151661809
04001_046676,4001,46676,apacheAZ,33.8525325,-109.2259575,-9999,2.505033929,8.697337237,8.242356742,16.552,25.27514286,20.88285714,56.45057143,1.261651592
04001_046677,4001,46677,apacheAZ,33.86489728,-109.1181401,-9999,2.605593452,8.829181499,8.338471417,14.52142857,23.79714286,19.88928571,51.97928571,1.369650762
04001_047132,4001,47132,apacheAZ,33.87775833,-109.7802412,-9999,2.976064286,9.570733021,9.096958467,21.70328571,26.402,21.69885714,63.72528571,0.999795949
04001_047133,4001,47133,apacheAZ,33.89063947,-109.6724783,-9999,1.887694048,8.40007377,7.925265157,23.31642857,28.53271429,23.29542857,68.25342857,0.999099347
04001_047134,4001,47134,apacheAZ,33.90341996,-109.56468,-9999,1.370083929,7.825633489,7.328019617,23.77028571,29.32657143,23.84971429,69.95914286,1.003341507
04001_047135,4001,47135,apacheAZ,33.91609974,-109.4568465,-9999,1.532349405,7.909327869,7.396005438,21.70842857,28.65571429,23.25771429,67.08042857,1.071367935
04001_047136,4001,47136,apacheAZ,33.92867877,-109.3489781,-9999,2.037225,8.377322014,7.848984735,18.26371429,26.43257143,21.72457143,59.58342857,1.189493609
04001_047137,4001,47137,apacheAZ,33.941157,-109.241075,-9999,2.369772024,8.718152225,8.159369098,15.50414286,24.46785714,20.36485714,53.54728571,1.313510675
04001_047138,4001,47138,apacheAZ,33.95353441,-109.1331376,-9999,2.799820238,9.173839578,8.596997977,13.15271429,22.26057143,18.68814286,47.83,1.420858269
04001_047593,4001,47593,apacheAZ,33.96630595,-109.795993,-9999,2.28204881,8.87741452,8.40543938,23.44157143,27.49828571,22.44814286,67.494,0.957621076
04001_047594,4001,47594,apacheAZ,33.97920025,-109.6881104,-9999,1.503605952,8.054016393,7.57289112,24.40985714,28.76742857,23.41242857,70.36671429,0.959138287
04001_047595,4001,47595,apacheAZ,33.99199379,-109.5801922,-9999,1.309424405,7.808911007,7.267975878,23.246,28.85057143,23.54628571,68.868,1.012917737
04001_047596,4001,47596,apacheAZ,34.00468653,-109.4722387,-9999,1.588525,8.080050351,7.479390719,20.053,27.84128571,22.87857143,63.35314286,1.140905173
04001_047597,4001,47597,apacheAZ,34.01727842,-109.3642502,-9999,2.032269643,8.497992974,7.900024805,17.65228571,26.11985714,21.57685714,58.02042857,1.22232653
04001_047598,4001,47598,apacheAZ,34.02976944,-109.2562269,-9999,2.68873869,9.176770492,8.531078811,13.56814286,22.63514286,18.97514286,48.308,1.398507007
04001_047599,4001,47599,apacheAZ,34.04215952,-109.1481692,-9999,2.886502381,9.376530445,8.731001359,12.53985714,21.54885714,18.12214286,45.72328571,1.445163422
04001_048054,4001,48054,apacheAZ,34.0548414,-109.8117807,-9999,2.086460714,8.638471897,8.163548462,23.52557143,27.37914286,22.31428571,67.85171429,0.948511954
04001_048055,4001,48055,apacheAZ,34.0677489,-109.703778,-9999,2.0735125,8.653918033,8.104766078,22.16485714,26.98128571,22.06128571,65.50442857,0.995327223
04001_048056,4001,48056,apacheAZ,34.08055555,-109.5957397,-9999,1.990320238,8.595270492,7.986131301,20.55042857,26.74457143,21.94428571,62.74228571,1.067826184
04001_048057,4001,48057,apacheAZ,34.09326131,-109.4876659,-9999,2.081844048,8.69624356,8.050145212,18.98114286,26.19914286,21.56857143,59.83442857,1.136315742
04001_048058,4001,48058,apacheAZ,34.10586613,-109.3795571,-9999,2.632639286,9.292025761,8.576164214,15.13471429,23.49871429,19.53785714,51.17142857,1.290930028
04001_048059,4001,48059,apacheAZ,34.11836997,-109.2714133,-9999,2.93090119,9.567211944,8.832808357,12.61642857,21.558,18.10142857,45.24771429,1.434750609
04001_048060,4001,48060,apacheAZ,34.13077278,-109.163235,-9999,3.05096131,9.660080796,8.949552351,11.89957143,20.60457143,17.32285714,43.43628571,1.455754709
04001_048061,4001,48061,apacheAZ,34.14307453,-109.0550223,-9999,3.109248214,9.715491803,9.02287609,11.57628571,20.05357143,16.83885714,42.58842857,1.454599304
04001_048515,4001,48515,apacheAZ,34.14336485,-109.8276042,-9999,2.656627381,9.211375878,8.686008019,22.01228571,25.81957143,21.144,64.59385714,0.960554496
04001_048516,4001,48516,apacheAZ,34.15628562,-109.7194813,-9999,2.660582738,9.355638173,8.713750137,19.79185714,24.79957143,20.363,59.83485714,1.028857467
04001_048517,4001,48517,apacheAZ,34.16910544,-109.6113225,-9999,2.598192262,9.30892623,8.637611748,19.04557143,24.75228571,20.34085714,58.49057143,1.068009811
04001_048518,4001,48518,apacheAZ,34.18182427,-109.5031283,-9999,2.626210119,9.349004684,8.635009153,17.266,24.16585714,19.91471429,55.095,1.153406364
04001_048519,4001,48519,apacheAZ,34.19444207,-109.3948988,-9999,3.045518452,9.828774005,9.038799189,13.994,21.86385714,18.16814286,47.63528571,1.298280896
04001_048520,4001,48520,apacheAZ,34.20695879,-109.2866343,-9999,3.209477381,9.967984778,9.171594336,12.126,20.472,17.14442857,43.29114286,1.413856884
04001_048521,4001,48521,apacheAZ,34.21937439,-109.1783351,-9999,3.203069643,9.934676815,9.163436779,11.62342857,19.83542857,16.61942857,42.02028571,1.429821543
04001_048522,4001,48522,apacheAZ,34.23168882,-109.0700015,-9999,3.233214286,10.00573185,9.231388381,11.43142857,19.27728571,16.08885714,41.11885714,1.407423144
04001_048976,4001,48976,apacheAZ,34.23187648,-109.8434638,-9999,3.348581548,10.14414403,9.456454167,17.877,22.41928571,18.42242857,54.74085714,1.030510073
