"","Season","Forecast","Scenario","MEAN","SD","COUNT","SLOPE","INTERCEPT","COR","R2","STD_ERROR","BIAS","RMSE","P_VALUE"
"1","Spring","2020-05-15","Abv","82.512","96.945","6105.000","0.894","33.305","0.961","0.924","0.003","27.445","39.872","p<0.05"
"2","Spring","2020-05-15","Avg","65.660","96.798","6105.000","0.916","15.196","0.987","0.975","0.002","10.593","20.587","p<0.05"
"3","Spring","2020-05-15","Blw","55.473","104.721","6105.000","1.003","0.256","0.999","0.997","0.001","0.406","5.596","p<0.05"
"4","Spring","2020-06-02","Abv","55.067","104.289","6105.000","1.000","-0.000","1.000","1.000","0.000","0.000","0.000","p<0.05"
"5","Spring","2020-06-02","Avg","55.067","104.289","6105.000","1.000","-0.000","1.000","1.000","0.000","0.000","0.000","p<0.05"
"6","Spring","2020-06-02","Blw","55.067","104.289","6105.000","1.000","-0.000","1.000","1.000","0.000","0.000","0.000","p<0.05"
"7","Spring","2021-04-14","Abv","-40.894","51.922","6105.000","0.751","16.765","0.915","0.837","0.004","35.900","44.463","p<0.05"
"8","Spring","2021-04-14","Avg","-79.826","63.731","6105.000","0.913","-9.779","0.907","0.822","0.005","-3.110","27.634","p<0.05"
"9","Spring","2021-04-14","Blw","-100.562","75.609","6105.000","0.942","-28.244","0.789","0.622","0.009","-23.769","52.312","p<0.05"
"10","Spring","2021-05-04","Abv","-54.525","55.204","6105.000","0.829","9.165","0.950","0.903","0.003","22.269","30.118","p<0.05"
"11","Spring","2021-05-04","Avg","-81.093","61.944","6105.000","0.921","-10.457","0.941","0.885","0.004","-4.376","22.070","p<0.05"
"12","Spring","2021-05-04","Blw","-94.853","70.248","6105.000","0.926","-23.737","0.835","0.697","0.008","-18.059","42.913","p<0.05"
"13","Spring","2021-05-18","Abv","-63.516","58.458","6105.000","0.898","5.416","0.971","0.944","0.003","13.278","20.271","p<0.05"
"14","Spring","2021-05-18","Avg","-80.546","62.075","6105.000","0.959","-6.956","0.978","0.956","0.003","-3.830","13.801","p<0.05"
"15","Spring","2021-05-18","Blw","-88.291","64.332","6105.000","0.952","-15.211","0.937","0.878","0.005","-11.497","25.425","p<0.05"
"16","Spring","2021-06-01","Abv","-76.794","63.262","6105.000","1.000","0.000","1.000","1.000","0.000","0.000","0.000","p<0.05"
"17","Spring","2021-06-01","Avg","-76.716","63.275","6105.000","1.000","0.000","1.000","1.000","0.000","0.000","0.000","p<0.05"
"18","Spring","2021-06-01","Blw","-76.794","63.343","6105.000","1.000","-0.000","1.000","1.000","0.000","0.000","0.000","p<0.05"
"19","Spring","2022-04-05","Abv","-46.945","49.822","4303.000","0.383","4.414","0.576","0.331","0.008","87.064","106.623","p<0.05"
"20","Spring","2022-04-05","Avg","-97.245","60.456","4303.000","0.678","-6.344","0.839","0.705","0.007","36.764","54.862","p<0.05"
"21","Spring","2022-04-05","Blw","-125.413","75.130","4303.000","0.941","0.746","0.937","0.879","0.005","8.596","27.867","p<0.05"
"22","Spring","2022-04-19","Abv","-64.653","51.090","4303.000","0.454","-3.757","0.665","0.443","0.008","69.356","89.051","p<0.05"
"23","Spring","2022-04-19","Avg","-108.007","62.598","4303.000","0.728","-10.462","0.870","0.757","0.006","26.001","45.198","p<0.05"
"24","Spring","2022-04-19","Blw","-131.480","77.422","4303.000","0.978","-0.464","0.945","0.893","0.005","2.529","25.553","p<0.05"
"25","Spring","2022-05-03","Abv","-85.111","56.797","4303.000","0.617","-2.475","0.812","0.660","0.007","48.897","65.655","p<0.05"
"26","Spring","2022-05-03","Avg","-117.835","67.084","4303.000","0.808","-9.563","0.901","0.812","0.006","16.174","36.253","p<0.05"
"27","Spring","2022-05-03","Blw","-135.601","80.580","4303.000","1.021","1.169","0.948","0.898","0.005","-1.593","25.832","p<0.05"
"28","Spring","2022-05-17","Abv","-108.246","64.795","4303.000","0.842","4.550","0.972","0.945","0.003","25.763","32.197","p<0.05"
"29","Spring","2022-05-17","Avg","-128.531","72.201","4303.000","0.952","-0.917","0.987","0.974","0.002","5.477","13.401","p<0.05"
"30","Spring","2022-05-17","Blw","-138.570","81.946","4303.000","1.081","6.274","0.987","0.974","0.003","-4.561","15.271","p<0.05"
"31","Spring","2022-05-31","Abv","-134.009","74.817","4303.000","1.000","0.000","1.000","1.000","0.000","0.000","0.000","p<0.05"
"32","Spring","2022-05-31","Avg","-134.009","74.817","4303.000","1.000","0.000","1.000","1.000","0.000","0.000","0.000","p<0.05"
"33","Spring","2022-05-31","Blw","-134.009","74.817","4303.000","1.000","0.000","1.000","1.000","0.000","0.000","0.000","p<0.05"
"34","Summer","2020-06-16","Abv","86.636","70.808","6105.000","-0.297","42.124","-0.496","0.246","0.007","236.484","288.496","p<0.05"
"35","Summer","2020-06-16","Avg","-30.480","43.898","6105.000","0.220","2.435","0.592","0.350","0.004","119.368","154.972","p<0.05"
"36","Summer","2020-06-16","Blw","-121.805","100.725","6105.000","0.654","-23.745","0.768","0.590","0.007","28.043","81.315","p<0.05"
"37","Summer","2020-06-30","Abv","61.097","61.041","6105.000","-0.104","45.461","-0.202","0.041","0.006","210.945","255.197","p<0.05"
"38","Summer","2020-06-30","Avg","-45.760","54.769","6105.000","0.327","3.258","0.706","0.499","0.004","104.088","136.633","p<0.05"
"39","Summer","2020-06-30","Blw","-130.695","105.576","6105.000","0.722","-22.513","0.809","0.654","0.007","19.154","72.828","p<0.05"
"40","Summer","2020-07-14","Abv","11.418","65.170","6105.000","0.201","41.548","0.365","0.133","0.007","161.266","196.504","p<0.05"
"41","Summer","2020-07-14","Avg","-71.715","73.634","6105.000","0.526","7.032","0.844","0.712","0.004","78.133","103.982","p<0.05"
"42","Summer","2020-07-14","Blw","-146.112","115.537","6105.000","0.849","-18.859","0.869","0.756","0.006","3.736","59.948","p<0.05"
"43","Summer","2020-07-29","Abv","6.958","93.256","6105.000","0.323","55.290","0.409","0.167","0.009","156.807","195.568","p<0.05"
"44","Summer","2020-07-29","Avg","-59.921","85.902","6105.000","0.590","28.521","0.813","0.660","0.005","89.928","113.762","p<0.05"
"45","Summer","2020-07-29","Blw","-115.160","106.851","6105.000","0.828","8.945","0.917","0.840","0.005","34.689","58.645","p<0.05"
"46","Summer","2020-08-11","Abv","-54.643","84.515","6105.000","0.526","24.208","0.736","0.542","0.006","95.205","124.388","p<0.05"
