Fips,CountyState,gridID,Indx,Year,meanNDVIgrid,meanANPPgrid,PPTgs_below,NDVI_predict_below,NPP_predict_below,NPP_stdev_below,deltaNPP_below,pct_diffNPP_below,PPTgs_avg,NDVI_predict_avg,NPP_predict_avg,NPP_stdev_avg,deltaNPP_avg,pct_diffNPP_avg,PPTgs_above,NDVI_predict_above,NPP_predict_above,NPP_stdev_above,deltaNPP_above,pct_diffNPP_above,pptWatYrReceived,pptAvgWatYrReceived,pptGSremainder_below,pptGSremainder_avg,pptGSremainder_above
4001,apacheAZ            ,45748,1,2022,0.0555,485.9852,4.3091,0.0432,387.9823,41.2365,-98.0029,-20.1658,6.7192,0.0538,472.3276,30.2786,-13.6575,-2.8103,9.9754,0.0617,535.286,28.2513,49.3008,10.1445,0.011811024,0.124671916,4.297288976,6.707388976,9.963588976
4001,apacheAZ            ,45749,1,2022,0.0615,533.3392,4.7411,0.0466,415.0066,48.9065,-118.3326,-22.1871,7.3514,0.0559,488.9119,35.1,-44.4273,-8.33,10.5371,0.0639,552.6694,25.2841,19.3302,3.6244,0.011811024,0.141544807,4.729288976,7.339588976,10.52528898
4001,apacheAZ            ,45750,1,2022,0.064,553.7768,5.0256,0.0479,425.4374,54.8794,-128.3394,-23.1753,7.6263,0.0561,490.2639,33.1871,-63.5129,-11.469,10.9026,0.0649,560.425,26.8668,6.6482,1.2005,0.011811024,0.16432321,5.013788976,7.614488976,10.89078898
4001,apacheAZ            ,45751,1,2022,0.064,553.5052,5.1526,0.0473,420.7473,54.5986,-132.7579,-23.9849,7.5738,0.0566,494.8793,33.1634,-58.6259,-10.5918,11.0262,0.0635,549.2723,32.6397,-4.2329,-0.7647,0.023622047,0.178665167,5.128977953,7.550177953,11.00257795
4001,apacheAZ            ,46209,1,2022,0.0573,500.296,4.2044,0.0443,396.4323,40.7339,-103.8637,-20.7605,7.0404,0.0548,480.0518,36.2193,-20.2442,-4.0464,10.0361,0.0622,539.0839,29.8759,38.7879,7.753,0.011811024,0.143513311,4.192588976,7.028588976,10.02428898
4001,apacheAZ            ,46210,1,2022,0.0638,551.7859,4.961,0.0477,424.1627,46.7594,-127.6232,-23.1291,7.6371,0.0573,500.2047,33.6623,-51.5812,-9.348,10.7238,0.0648,559.9219,28.7262,8.136,1.4745,0.011811024,0.157480315,4.949188976,7.625288976,10.71198898
4001,apacheAZ            ,46211,1,2022,0.066,569.482,5.247,0.0504,444.9169,52.8837,-124.5651,-21.8734,8.0138,0.0583,507.8254,30.3962,-61.6565,-10.8268,11.253,0.0666,574.2542,34.4447,4.7722,0.838,0.011811024,0.186632921,5.235188976,8.001988976,11.24118898
4001,apacheAZ            ,46212,1,2022,0.067,576.9285,5.315,0.0501,443.2767,55.5276,-133.6518,-23.1661,7.9226,0.0581,506.6045,27.6873,-70.324,-12.1894,11.4856,0.0665,573.2729,34.4894,-3.6555,-0.6336,0.011811024,0.206786652,5.303188976,7.910788976,11.47378898
4001,apacheAZ            ,46213,1,2022,0.0662,570.6637,5.3458,0.0493,436.4604,49.2109,-134.2033,-23.5171,7.9416,0.0591,514.5632,26.33,-56.1005,-9.8307,11.6903,0.0643,555.6563,41.1493,-15.0074,-2.6298,0.023622047,0.227127859,5.322177953,7.917977953,11.66667795
4001,apacheAZ            ,46670,1,2022,0.0601,522.5271,4.3957,0.0461,411.4707,39.6299,-111.0565,-21.2537,7.3015,0.0565,493.843,37.4949,-28.6841,-5.4895,10.3035,0.0633,547.8863,27.4891,25.3591,4.8532,0.011811024,0.154199475,4.383888976,7.289688976,10.29168898
