"","Season","Forecast","Scenario","MEAN","SD","COUNT","SLOPE","INTERCEPT","COR","R2","STD_ERROR","BIAS","RMSE","P_VALUE"
"1","Spring","2020-05-15","Blw","72.638","120.074","4303.000","1.003","0.312","0.998","0.997","0.001","0.514","6.608","p<0.05"
"2","Spring","2020-05-15","Avg","86.471","108.087","4303.000","0.895","21.927","0.990","0.980","0.002","14.347","24.468","p<0.05"
"3","Spring","2020-05-15","Abv","108.596","104.259","4303.000","0.849","47.385","0.973","0.947","0.003","36.472","47.236","p<0.05"
"4","Spring","2020-06-02","Blw","72.123","119.559","4303.000","1.000","-0.000","1.000","1.000","0.000","0.000","0.000","p<0.05"
"5","Spring","2020-06-02","Avg","72.123","119.559","4303.000","1.000","-0.000","1.000","1.000","0.000","0.000","0.000","p<0.05"
"6","Spring","2020-06-02","Abv","72.123","119.559","4303.000","1.000","-0.000","1.000","1.000","0.000","0.000","0.000","p<0.05"
"7","Spring","2021-04-14","Blw","-133.256","65.988","4303.000","0.711","-62.710","0.672","0.451","0.012","-34.094","62.252","p<0.05"
"8","Spring","2021-04-14","Avg","-105.907","58.017","4303.000","0.804","-26.250","0.863","0.744","0.007","-6.856","32.500","p<0.05"
"9","Spring","2021-04-14","Abv","-54.988","55.623","4303.000","0.810","25.376","0.906","0.821","0.006","44.172","51.424","p<0.05"
"10","Spring","2021-05-04","Blw","-124.853","61.835","4303.000","0.741","-51.356","0.747","0.557","0.010","-25.691","51.102","p<0.05"
"11","Spring","2021-05-04","Avg","-106.320","56.421","4303.000","0.829","-24.202","0.914","0.836","0.006","-7.269","26.213","p<0.05"
"12","Spring","2021-05-04","Abv","-71.818","56.984","4303.000","0.858","13.244","0.936","0.876","0.005","27.343","35.041","p<0.05"
"13","Spring","2021-05-18","Blw","-115.367","57.067","4303.000","0.835","-32.521","0.912","0.832","0.006","-16.205","30.261","p<0.05"
"14","Spring","2021-05-18","Avg","-104.889","57.811","4303.000","0.901","-15.639","0.970","0.941","0.003","-5.838","16.414","p<0.05"
"15","Spring","2021-05-18","Abv","-82.612","59.385","4303.000","0.918","8.440","0.961","0.924","0.004","16.548","23.799","p<0.05"
"16","Spring","2021-06-01","Blw","-99.162","62.292","4303.000","1.000","0.000","1.000","1.000","0.000","0.000","0.000","p<0.05"
"17","Spring","2021-06-01","Avg","-99.051","62.235","4303.000","1.000","0.000","1.000","1.000","0.000","0.000","0.000","p<0.05"
"18","Spring","2021-06-01","Abv","-99.160","62.179","4303.000","1.000","-0.000","1.000","1.000","0.000","0.000","0.000","p<0.05"
"19","Spring","2022-04-05","Blw","-125.413","75.130","4303.000","0.941","0.746","0.937","0.879","0.005","8.596","27.867","p<0.05"
"20","Spring","2022-04-05","Avg","-97.245","60.456","4303.000","0.678","-6.344","0.839","0.705","0.007","36.764","54.862","p<0.05"
"21","Spring","2022-04-05","Abv","-46.945","49.822","4303.000","0.383","4.414","0.576","0.331","0.008","87.064","106.623","p<0.05"
"22","Spring","2022-04-19","Blw","-131.480","77.422","4303.000","0.978","-0.464","0.945","0.893","0.005","2.529","25.553","p<0.05"
"23","Spring","2022-04-19","Avg","-108.007","62.598","4303.000","0.728","-10.462","0.870","0.757","0.006","26.001","45.198","p<0.05"
"24","Spring","2022-04-19","Abv","-64.653","51.090","4303.000","0.454","-3.757","0.665","0.443","0.008","69.356","89.051","p<0.05"
"25","Spring","2022-05-03","Blw","-135.601","80.580","4303.000","1.021","1.169","0.948","0.898","0.005","-1.593","25.832","p<0.05"
"26","Spring","2022-05-03","Avg","-117.835","67.084","4303.000","0.808","-9.563","0.901","0.812","0.006","16.174","36.253","p<0.05"
"27","Spring","2022-05-03","Abv","-85.111","56.797","4303.000","0.617","-2.475","0.812","0.660","0.007","48.897","65.655","p<0.05"
"28","Spring","2022-05-17","Blw","-138.570","81.946","4303.000","1.081","6.274","0.987","0.974","0.003","-4.561","15.271","p<0.05"
"29","Spring","2022-05-17","Avg","-128.531","72.201","4303.000","0.952","-0.917","0.987","0.974","0.002","5.477","13.401","p<0.05"
"30","Spring","2022-05-17","Abv","-108.246","64.795","4303.000","0.842","4.550","0.972","0.945","0.003","25.763","32.197","p<0.05"
"31","Spring","2022-05-31","Blw","-134.009","74.817","4303.000","1.000","0.000","1.000","1.000","0.000","0.000","0.000","p<0.05"
"32","Spring","2022-05-31","Avg","-134.009","74.817","4303.000","1.000","0.000","1.000","1.000","0.000","0.000","0.000","p<0.05"
"33","Spring","2022-05-31","Abv","-134.009","74.817","4303.000","1.000","0.000","1.000","1.000","0.000","0.000","0.000","p<0.05"
"34","Summer","2020-06-16","Blw","-149.213","107.312","4303.000","0.615","-42.138","0.739","0.546","0.009","24.918","91.191","p<0.05"
"35","Summer","2020-06-16","Avg","-37.958","48.233","4303.000","0.211","-1.275","0.563","0.317","0.005","136.173","174.595","p<0.05"
"36","Summer","2020-06-16","Abv","106.119","73.537","4303.000","-0.253","62.077","-0.443","0.197","0.008","280.249","330.099","p<0.05"
"37","Summer","2020-06-30","Blw","-159.349","112.394","4303.000","0.686","-39.962","0.786","0.618","0.008","14.782","81.731","p<0.05"
"38","Summer","2020-06-30","Avg","-56.757","59.791","4303.000","0.316","-1.783","0.681","0.463","0.005","117.373","153.214","p<0.05"
"39","Summer","2020-06-30","Abv","74.387","65.533","4303.000","-0.063","63.356","-0.125","0.016","0.008","248.518","291.161","p<0.05"
"40","Summer","2020-07-14","Blw","-176.906","122.931","4303.000","0.816","-34.806","0.856","0.732","0.008","-2.776","67.924","p<0.05"
"41","Summer","2020-07-14","Avg","-86.565","80.535","4303.000","0.519","3.820","0.831","0.690","0.005","87.566","116.270","p<0.05"
"42","Summer","2020-07-14","Abv","15.103","74.310","4303.000","0.233","55.664","0.404","0.163","0.008","189.233","224.063","p<0.05"
"43","Summer","2020-07-29","Blw","-136.009","119.218","4303.000","0.844","10.990","0.913","0.833","0.006","38.122","65.006","p<0.05"
"44","Summer","2020-07-29","Avg","-69.587","98.824","4303.000","0.624","38.993","0.813","0.662","0.007","104.543","128.793","p<0.05"
"45","Summer","2020-07-29","Abv","13.340","107.865","4303.000","0.392","81.568","0.468","0.219","0.011","187.471","224.437","p<0.05"
"46","Summer","2020-08-11","Blw","-163.775","121.648","4303.000","0.901","-6.875","0.955","0.912","0.004","10.356","39.692","p<0.05"
"47","Summer","2020-08-11","Avg","-122.183","108.123","4303.000","0.770","11.915","0.918","0.843","0.005","51.947","73.561","p<0.05"
"48","Summer","2020-08-11","Abv","-57.810","97.428","4303.000","0.571","41.547","0.755","0.570","0.008","116.320","143.787","p<0.05"
"49","Summer","2020-09-01","Blw","-174.131","128.913","4303.000","1.000","0.000","1.000","1.000","0.000","0.000","0.000","p<0.05"
"50","Summer","2020-09-01","Avg","-174.131","128.913","4303.000","1.000","0.000","1.000","1.000","0.000","0.000","0.000","p<0.05"
"51","Summer","2020-09-01","Abv","-174.131","128.913","4303.000","1.000","0.000","1.000","1.000","0.000","0.000","0.000","p<0.05"
"52","Summer","2021-06-16","Blw","-133.758","85.002","4303.000","-0.038","-131.612","-0.105","0.011","0.006","-189.512","318.454","p<0.05"
"53","Summer","2021-06-16","Avg","-22.260","34.495","4303.000","-0.009","-21.604","-0.062","0.004","0.002","-94.401","257.818","p<0.05"
"54","Summer","2021-06-16","Abv","123.071","79.355","4303.000","0.092","113.237","0.285","0.081","0.005","15.858","236.722","p<0.05"
"55","Summer","2021-06-29","Blw","-126.217","80.707","4303.000","-0.020","-125.100","-0.058","0.003","0.005","-181.972","309.684","p<0.05"
"56","Summer","2021-06-29","Avg","-23.677","37.690","4303.000","0.005","-24.023","0.030","0.001","0.002","-95.818","255.798","p<0.05"
